region,period,total,year,month
total national,2010-07,1407573.0,2010,7
total national,2010-06,655687.0,2010,6
total national,2010-05,462850.0,2010,5
total national,2010-04,439940.0,2010,4
total national,2010-03,215418.0,2010,3
total national,2010-02,103496.0,2010,2
total national,2010-01,90918.0,2010,1
total national,2009-12,109308.0,2009,12
total national,2009-11,114480.0,2009,11
total national,2009-10,262725.0,2009,10
total national,2009-09,510723.0,2009,9
total national,2009-08,1754069.0,2009,8
total national,2009-07,1413583.0,2009,7
total national,2009-06,659521.0,2009,6
total national,2009-05,474931.0,2009,5
total national,2009-04,473928.0,2009,4
total national,2009-03,197558.0,2009,3
total national,2009-02,114637.0,2009,2
total national,2009-01,94151.0,2009,1
total national,2008-12,114244.0,2008,12
total national,2008-11,123931.0,2008,11
total national,2008-10,214447.0,2008,10
total national,2008-09,526153.0,2008,9
total national,2008-08,1836059.0,2008,8
total national,2008-07,1412116.0,2008,7
total national,2008-06,677078.0,2008,6
total national,2008-05,455136.0,2008,5
total national,2008-04,326294.0,2008,4
total national,2008-03,346002.0,2008,3
total national,2008-02,130851.0,2008,2
total national,2008-01,98588.0,2008,1
total national,2007-12,123286.0,2007,12
total national,2007-11,149208.0,2007,11
total national,2007-10,239627.0,2007,10
total national,2007-09,559357.0,2007,9
total national,2007-08,1824566.0,2007,8
total national,2007-07,1439517.0,2007,7
total national,2007-06,728090.0,2007,6
total national,2007-05,433816.0,2007,5
total national,2007-04,523728.0,2007,4
total national,2007-03,222568.0,2007,3
total national,2007-02,120995.0,2007,2
total national,2007-01,92348.0,2007,1
total national,2006-12,144111.0,2006,12
total national,2006-11,126550.0,2006,11
total national,2006-10,235619.0,2006,10
total national,2006-09,570086.0,2006,9
total national,2006-08,1831383.0,2006,8
total national,2006-07,1580017.0,2006,7
total national,2006-06,714251.0,2006,6
total national,2006-05,446392.0,2006,5
total national,2006-04,582001.0,2006,4
total national,2006-03,180367.0,2006,3
total national,2006-02,116201.0,2006,2
total national,2006-01,92770.0,2006,1
total national,2005-12,112671.0,2005,12
total national,2005-11,119245.0,2005,11
total national,2005-10,235984.0,2005,10
total national,2005-09,561031.0,2005,9
total national,2005-08,1949574.0,2005,8
total national,2005-07,1588857.0,2005,7
total national,2005-06,677969.0,2005,6
total national,2005-05,465980.0,2005,5
total national,2005-04,350027.0,2005,4
total national,2005-03,287099.0,2005,3
total national,2005-02,107435.0,2005,2
total national,2005-01,100277.0,2005,1
total national,2004-12,114025.0,2004,12
total national,2004-11,119937.0,2004,11
total national,2004-10,241568.0,2004,10
total national,2004-09,576064.0,2004,9
total national,2004-08,2024089.0,2004,8
total national,2004-07,1528945.0,2004,7
total national,2004-06,706362.0,2004,6
total national,2004-05,435567.0,2004,5
total national,2004-04,511388.0,2004,4
total national,2004-03,173369.0,2004,3
total national,2004-02,124347.0,2004,2
total national,2004-01,118265.0,2004,1
total national,2003-12,116809.0,2003,12
total national,2003-11,128250.0,2003,11
total national,2003-10,195499.0,2003,10
total national,2003-09,581820.0,2003,9
total national,2003-08,2225168.0,2003,8
total national,2003-07,1598616.0,2003,7
total national,2003-06,767861.0,2003,6
total national,2003-05,519644.0,2003,5
total national,2003-04,525820.0,2003,4
total national,2003-03,162825.0,2003,3
total national,2003-02,113932.0,2003,2
total national,2003-01,96345.0,2003,1
total national,2002-12,102531.0,2002,12
total national,2002-11,115162.0,2002,11
total national,2002-10,192541.0,2002,10
total national,2002-09,489158.0,2002,9
total national,2002-08,1768721.0,2002,8
total national,2002-07,1493613.0,2002,7
total national,2002-06,671931.0,2002,6
total national,2002-05,401230.0,2002,5
total national,2002-04,290874.0,2002,4
total national,2002-03,320388.0,2002,3
total national,2002-02,98369.0,2002,2
total national,2002-01,75561.0,2002,1
total national,2001-12,89004.0,2001,12
total national,2001-11,97029.0,2001,11
total national,2001-10,186968.0,2001,10
total national,2001-09,471494.0,2001,9
total national,2001-08,1868831.0,2001,8
total national,2001-07,1490929.0,2001,7
total national,2001-06,618809.0,2001,6
total national,2001-05,350987.0,2001,5
total national,2001-04,562854.0,2001,4
total national,2001-03,153151.0,2001,3
total national,2001-02,94216.0,2001,2
total national,2001-01,74077.0,2001,1
total national,2000-12,102888.0,2000,12
total national,2000-11,83259.0,2000,11
total national,2000-10,177714.0,2000,10
total national,2000-09,489308.0,2000,9
total national,2000-08,1759827.0,2000,8
total national,2000-07,1423214.0,2000,7
total national,2000-06,503610.0,2000,6
total national,2000-05,301644.0,2000,5
total national,2000-04,443344.0,2000,4
total national,2000-03,141023.0,2000,3
total national,2000-02,91355.0,2000,2
total national,2000-01,62931.0,2000,1
total national,1999-12,72168.0,1999,12
total national,1999-11,75075.0,1999,11
total national,1999-10,176229.0,1999,10
total national,1999-09,423253.0,1999,9
total national,1999-08,1682196.0,1999,8
total national,1999-07,1301150.0,1999,7
total national,1999-06,516861.0,1999,6
total national,1999-05,320569.0,1999,5
total national,1999-04,341399.0,1999,4
total national,1999-03,158363.0,1999,3
total national,1999-02,73069.0,1999,2
total national,1999-01,58505.0,1999,1
total national,2025-02,132579.0,2025,2
total national,2025-01,87279.0,2025,1
total national,2024-12,150046.0,2024,12
total national,2024-11,147700.0,2024,11
total national,2024-10,287182.0,2024,10
total national,2024-09,590963.0,2024,9
total national,2024-08,1487318.0,2024,8
total national,2024-07,1218576.0,2024,7
total national,2024-06,895725.0,2024,6
total national,2024-05,537874.0,2024,5
total national,2024-04,353993.0,2024,4
total national,2024-03,431318.0,2024,3
total national,2024-02,126568.0,2024,2
total national,2024-01,84826.0,2024,1
total national,2023-12,152782.0,2023,12
total national,2023-11,140260.0,2023,11
total national,2023-10,363346.0,2023,10
total national,2023-09,628127.0,2023,9
total national,2023-08,1533219.0,2023,8
total national,2023-07,1247663.0,2023,7
total national,2023-06,900490.0,2023,6
total national,2023-05,418016.0,2023,5
total national,2023-04,699263.0,2023,4
total national,2023-03,215580.0,2023,3
total national,2023-02,121606.0,2023,2
total national,2023-01,87790.0,2023,1
total national,2022-12,142136.0,2022,12
total national,2022-11,130736.0,2022,11
total national,2022-10,353327.0,2022,10
total national,2022-09,618522.0,2022,9
total national,2022-08,1479655.0,2022,8
total national,2022-07,1251897.0,2022,7
total national,2022-06,911457.0,2022,6
total national,2022-05,504763.0,2022,5
total national,2022-04,585748.0,2022,4
total national,2022-03,151912.0,2022,3
total national,2022-02,141025.0,2022,2
total national,2022-01,99283.0,2022,1
total national,2021-12,140488.0,2021,12
total national,2021-11,125550.0,2021,11
total national,2021-10,391457.0,2021,10
total national,2021-09,650829.0,2021,9
total national,2021-08,1686168.0,2021,8
total national,2021-07,1340895.0,2021,7
total national,2021-06,849362.0,2021,6
total national,2021-05,465499.0,2021,5
total national,2021-04,294786.0,2021,4
total national,2021-03,180953.0,2021,3
total national,2021-02,43051.0,2021,2
total national,2021-01,31838.0,2021,1
