region,period,total,year,month
01 andalucã­a,2021-11,2.26,2021,11
01 andalucã­a,2021-10,2.66,2021,10
01 andalucã­a,2021-09,2.97,2021,9
01 andalucã­a,2021-08,3.32,2021,8
01 andalucã­a,2021-07,3.06,2021,7
01 andalucã­a,2021-06,2.43,2021,6
01 andalucã­a,2021-05,1.94,2021,5
01 andalucã­a,2021-04,1.8,2021,4
01 andalucã­a,2021-03,1.78,2021,3
01 andalucã­a,2021-02,1.81,2021,2
01 andalucã­a,2021-01,1.84,2021,1
01 andalucã­a,2020-12,1.7,2020,12
01 andalucã­a,2020-11,1.91,2020,11
01 andalucã­a,2020-10,2.01,2020,10
01 andalucã­a,2020-09,2.43,2020,9
01 andalucã­a,2020-08,2.96,2020,8
01 andalucã­a,2020-07,2.71,2020,7
01 andalucã­a,2020-06,1.85,2020,6
01 andalucã­a,2020-05,2.83,2020,5
01 andalucã­a,2020-04,0.0,2020,4
01 andalucã­a,2020-03,2.62,2020,3
01 andalucã­a,2020-02,2.34,2020,2
01 andalucã­a,2020-01,2.22,2020,1
01 andalucã­a,2019-12,2.17,2019,12
01 andalucã­a,2019-11,2.32,2019,11
01 andalucã­a,2019-10,2.68,2019,10
01 andalucã­a,2019-09,3.0,2019,9
01 andalucã­a,2019-08,3.34,2019,8
01 andalucã­a,2019-07,3.24,2019,7
01 andalucã­a,2019-06,2.86,2019,6
01 andalucã­a,2019-05,2.64,2019,5
01 andalucã­a,2019-04,2.68,2019,4
01 andalucã­a,2019-03,2.56,2019,3
01 andalucã­a,2019-02,2.28,2019,2
01 andalucã­a,2019-01,2.33,2019,1
01 andalucã­a,2018-12,2.24,2018,12
01 andalucã­a,2018-11,2.38,2018,11
01 andalucã­a,2018-10,2.79,2018,10
01 andalucã­a,2018-09,3.06,2018,9
01 andalucã­a,2018-08,3.34,2018,8
01 andalucã­a,2018-07,3.36,2018,7
01 andalucã­a,2018-06,2.93,2018,6
01 andalucã­a,2018-05,2.76,2018,5
01 andalucã­a,2018-04,2.69,2018,4
01 andalucã­a,2018-03,2.69,2018,3
01 andalucã­a,2018-02,2.32,2018,2
01 andalucã­a,2018-01,2.33,2018,1
01 andalucã­a,2017-12,2.24,2017,12
01 andalucã­a,2017-11,2.39,2017,11
01 andalucã­a,2017-10,2.84,2017,10
01 andalucã­a,2017-09,3.09,2017,9
01 andalucã­a,2017-08,3.47,2017,8
01 andalucã­a,2017-07,3.39,2017,7
01 andalucã­a,2017-06,2.96,2017,6
01 andalucã­a,2017-05,2.7,2017,5
01 andalucã­a,2017-04,2.71,2017,4
01 andalucã­a,2017-03,2.62,2017,3
01 andalucã­a,2017-02,2.38,2017,2
01 andalucã­a,2017-01,2.29,2017,1
01 andalucã­a,2016-12,2.27,2016,12
01 andalucã­a,2016-11,2.44,2016,11
01 andalucã­a,2016-10,2.88,2016,10
01 andalucã­a,2016-09,3.12,2016,9
01 andalucã­a,2016-08,3.49,2016,8
01 andalucã­a,2016-07,3.43,2016,7
01 andalucã­a,2016-06,2.92,2016,6
01 andalucã­a,2016-05,2.73,2016,5
01 andalucã­a,2016-04,2.62,2016,4
01 andalucã­a,2016-03,2.71,2016,3
01 andalucã­a,2016-02,2.47,2016,2
01 andalucã­a,2016-01,2.44,2016,1
01 andalucã­a,2015-12,2.24,2015,12
01 andalucã­a,2015-11,2.36,2015,11
01 andalucã­a,2015-10,2.74,2015,10
01 andalucã­a,2015-09,3.1,2015,9
01 andalucã­a,2015-08,3.5,2015,8
01 andalucã­a,2015-07,3.47,2015,7
01 andalucã­a,2015-06,2.89,2015,6
01 andalucã­a,2015-05,2.62,2015,5
01 andalucã­a,2015-04,2.69,2015,4
01 andalucã­a,2015-03,2.7,2015,3
01 andalucã­a,2015-02,2.46,2015,2
01 andalucã­a,2015-01,2.42,2015,1
01 andalucã­a,2014-12,2.21,2014,12
01 andalucã­a,2014-11,2.41,2014,11
01 andalucã­a,2014-10,2.8,2014,10
01 andalucã­a,2014-09,3.13,2014,9
01 andalucã­a,2014-08,3.5,2014,8
01 andalucã­a,2014-07,3.48,2014,7
01 andalucã­a,2014-06,2.95,2014,6
01 andalucã­a,2014-05,2.63,2014,5
01 andalucã­a,2014-04,2.69,2014,4
01 andalucã­a,2014-03,2.69,2014,3
