Total Nacional;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2020M04;0
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2020M03;.
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2020M02;2.617
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2020M01;1.780
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2019M12;2.204
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2019M11;2.558
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2019M10;3.765
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2019M09;5.070
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2019M08;15.321
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2019M07;13.741
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2019M06;8.231
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2019M05;6.003
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2019M04;12.919
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2019M03;4.750
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2019M02;3.439
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2019M01;2.475
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2018M12;3.003
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2018M11;2.834
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2018M10;5.291
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2018M09;5.307
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2018M08;15.442
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2018M07;12.520
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2018M06;7.208
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2018M05;5.501
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2018M04;.
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2018M03;.
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2018M02;.
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2018M01;.
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2017M12;3.158
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2017M11;2.844
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2017M10;3.735
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2017M09;5.453
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2017M08;15.063
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2017M07;10.578
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2017M06;6.899
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2017M05;5.733
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2017M04;.
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2017M03;.
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2017M02;2.021
Total Nacional;05 Canarias;Pernoctaciones;Residentes en España;2017M01;1.986
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2024M10;.
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2024M09;4.571
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2024M08;5.597
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2024M07;6.885
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2024M06;4.453
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2024M05;4.813
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2024M04;5.466
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2024M03;2.129
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2024M02;8.110
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2024M01;11.135
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2023M12;9.450
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2023M11;8.406
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2023M10;6.304
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2023M09;5.926
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2023M08;7.054
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2023M07;5.842
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2023M06;6.416
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2023M05;7.256
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2023M04;8.463
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2023M03;9.237
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2023M02;10.931
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2023M01;11.123
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2022M12;11.181
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2022M11;8.647
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2022M10;4.528
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2022M09;3.938
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2022M08;4.831
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2022M07;5.701
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2022M06;3.688
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2022M05;3.864
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2022M04;6.057
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2022M03;6.223
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2022M02;6.106
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2022M01;6.606
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2021M12;6.066
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2021M11;5.158
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2021M10;3.169
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2021M09;2.952
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2021M08;3.509
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2021M07;3.632
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2021M06;3.687
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2021M05;3.852
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2021M04;3.563
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2021M03;3.560
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2021M02;3.716
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2021M01;4.098
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2020M12;4.287
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2020M11;4.096
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2020M10;.
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2020M09;3.261
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2020M08;3.704
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2020M07;4.150
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2020M06;.
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2020M05;.
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2020M04;0
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2020M03;.
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2020M02;4.694
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2020M01;4.838
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2019M12;4.815
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2019M11;4.419
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2019M10;3.417
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2019M09;3.154
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2019M08;3.817
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2019M07;4.215
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2019M06;4.144
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2019M05;4.298
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2019M04;2.411
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2019M03;7.748
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2019M02;7.010
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2019M01;6.692
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2018M12;6.406
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2018M11;5.426
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2018M10;3.641
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2018M09;3.327
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2018M08;4.533
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2018M07;5.787
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2018M06;3.263
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2018M05;3.835
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2018M04;.
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2018M03;.
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2018M02;.
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2018M01;.
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2017M12;4.200
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2017M11;4.239
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2017M10;2.480
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2017M09;2.660
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2017M08;4.167
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2017M07;5.035
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2017M06;2.640
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2017M05;2.252
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2017M04;.
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2017M03;.
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2017M02;5.392
Total Nacional;05 Canarias;Pernoctaciones;Residentes en el Extranjero;2017M01;4.326
Total Nacional;06 Cantabria;Viajero;Total;2024M10;11.469
Total Nacional;06 Cantabria;Viajero;Total;2024M09;37.452
Total Nacional;06 Cantabria;Viajero;Total;2024M08;118.618
Total Nacional;06 Cantabria;Viajero;Total;2024M07;119.186
Total Nacional;06 Cantabria;Viajero;Total;2024M06;41.954
Total Nacional;06 Cantabria;Viajero;Total;2024M05;24.859
Total Nacional;06 Cantabria;Viajero;Total;2024M04;19.784
Total Nacional;06 Cantabria;Viajero;Total;2024M03;13.892
Total Nacional;06 Cantabria;Viajero;Total;2024M02;842
Total Nacional;06 Cantabria;Viajero;Total;2024M01;651
Total Nacional;06 Cantabria;Viajero;Total;2023M12;820
Total Nacional;06 Cantabria;Viajero;Total;2023M11;762
Total Nacional;06 Cantabria;Viajero;Total;2023M10;9.723
Total Nacional;06 Cantabria;Viajero;Total;2023M09;45.811
Total Nacional;06 Cantabria;Viajero;Total;2023M08;104.984
Total Nacional;06 Cantabria;Viajero;Total;2023M07;93.049
Total Nacional;06 Cantabria;Viajero;Total;2023M06;44.812
Total Nacional;06 Cantabria;Viajero;Total;2023M05;19.645
Total Nacional;06 Cantabria;Viajero;Total;2023M04;24.163
Total Nacional;06 Cantabria;Viajero;Total;2023M03;5.139
Total Nacional;06 Cantabria;Viajero;Total;2023M02;1.015
Total Nacional;06 Cantabria;Viajero;Total;2023M01;663
Total Nacional;06 Cantabria;Viajero;Total;2022M12;599
Total Nacional;06 Cantabria;Viajero;Total;2022M11;1.164
Total Nacional;06 Cantabria;Viajero;Total;2022M10;10.809
Total Nacional;06 Cantabria;Viajero;Total;2022M09;39.623
Total Nacional;06 Cantabria;Viajero;Total;2022M08;105.184
Total Nacional;06 Cantabria;Viajero;Total;2022M07;88.940
Total Nacional;06 Cantabria;Viajero;Total;2022M06;37.807
Total Nacional;06 Cantabria;Viajero;Total;2022M05;20.220
Total Nacional;06 Cantabria;Viajero;Total;2022M04;21.323
Total Nacional;06 Cantabria;Viajero;Total;2022M03;1.826
Total Nacional;06 Cantabria;Viajero;Total;2022M02;761
Total Nacional;06 Cantabria;Viajero;Total;2022M01;851
Total Nacional;06 Cantabria;Viajero;Total;2021M12;.
Total Nacional;06 Cantabria;Viajero;Total;2021M11;377
Total Nacional;06 Cantabria;Viajero;Total;2021M10;4.656
Total Nacional;06 Cantabria;Viajero;Total;2021M09;28.548
Total Nacional;06 Cantabria;Viajero;Total;2021M08;87.041
Total Nacional;06 Cantabria;Viajero;Total;2021M07;73.568
Total Nacional;06 Cantabria;Viajero;Total;2021M06;28.838
Total Nacional;06 Cantabria;Viajero;Total;2021M05;5.790
Total Nacional;06 Cantabria;Viajero;Total;2021M04;1.390
Total Nacional;06 Cantabria;Viajero;Total;2021M03;.
Total Nacional;06 Cantabria;Viajero;Total;2021M02;.
Total Nacional;06 Cantabria;Viajero;Total;2021M01;.
Total Nacional;06 Cantabria;Viajero;Total;2020M12;.
Total Nacional;06 Cantabria;Viajero;Total;2020M11;70
Total Nacional;06 Cantabria;Viajero;Total;2020M10;1.253
Total Nacional;06 Cantabria;Viajero;Total;2020M09;23.150
Total Nacional;06 Cantabria;Viajero;Total;2020M08;82.995
Total Nacional;06 Cantabria;Viajero;Total;2020M07;67.217
Total Nacional;06 Cantabria;Viajero;Total;2020M06;10.835
Total Nacional;06 Cantabria;Viajero;Total;2020M05;.
Total Nacional;06 Cantabria;Viajero;Total;2020M04;0
Total Nacional;06 Cantabria;Viajero;Total;2020M03;154
Total Nacional;06 Cantabria;Viajero;Total;2020M02;559
Total Nacional;06 Cantabria;Viajero;Total;2020M01;.
Total Nacional;06 Cantabria;Viajero;Total;2019M12;240
Total Nacional;06 Cantabria;Viajero;Total;2019M11;1.666
Total Nacional;06 Cantabria;Viajero;Total;2019M10;7.128
Total Nacional;06 Cantabria;Viajero;Total;2019M09;31.723
Total Nacional;06 Cantabria;Viajero;Total;2019M08;94.923
Total Nacional;06 Cantabria;Viajero;Total;2019M07;76.688
Total Nacional;06 Cantabria;Viajero;Total;2019M06;33.065
Total Nacional;06 Cantabria;Viajero;Total;2019M05;15.443
Total Nacional;06 Cantabria;Viajero;Total;2019M04;18.225
Total Nacional;06 Cantabria;Viajero;Total;2019M03;3.157
Total Nacional;06 Cantabria;Viajero;Total;2019M02;.
Total Nacional;06 Cantabria;Viajero;Total;2019M01;.
Total Nacional;06 Cantabria;Viajero;Total;2018M12;305
Total Nacional;06 Cantabria;Viajero;Total;2018M11;1.732
Total Nacional;06 Cantabria;Viajero;Total;2018M10;7.124
Total Nacional;06 Cantabria;Viajero;Total;2018M09;32.836
Total Nacional;06 Cantabria;Viajero;Total;2018M08;99.534
Total Nacional;06 Cantabria;Viajero;Total;2018M07;68.647
Total Nacional;06 Cantabria;Viajero;Total;2018M06;31.894
Total Nacional;06 Cantabria;Viajero;Total;2018M05;17.576
Total Nacional;06 Cantabria;Viajero;Total;2018M04;13.972
Total Nacional;06 Cantabria;Viajero;Total;2018M03;4.891
Total Nacional;06 Cantabria;Viajero;Total;2018M02;160
Total Nacional;06 Cantabria;Viajero;Total;2018M01;74
Total Nacional;06 Cantabria;Viajero;Total;2017M12;107
Total Nacional;06 Cantabria;Viajero;Total;2017M11;2.075
Total Nacional;06 Cantabria;Viajero;Total;2017M10;6.368
Total Nacional;06 Cantabria;Viajero;Total;2017M09;29.394
Total Nacional;06 Cantabria;Viajero;Total;2017M08;102.197
Total Nacional;06 Cantabria;Viajero;Total;2017M07;77.159
Total Nacional;06 Cantabria;Viajero;Total;2017M06;36.428
Total Nacional;06 Cantabria;Viajero;Total;2017M05;16.563
Total Nacional;06 Cantabria;Viajero;Total;2017M04;22.342
Total Nacional;06 Cantabria;Viajero;Total;2017M03;2.792
Total Nacional;06 Cantabria;Viajero;Total;2017M02;285
Total Nacional;06 Cantabria;Viajero;Total;2017M01;101
Total Nacional;06 Cantabria;Viajero;Residentes en España;2024M10;8.530
Total Nacional;06 Cantabria;Viajero;Residentes en España;2024M09;19.010
Total Nacional;06 Cantabria;Viajero;Residentes en España;2024M08;80.578
Total Nacional;06 Cantabria;Viajero;Residentes en España;2024M07;73.849
Total Nacional;06 Cantabria;Viajero;Residentes en España;2024M06;27.945
Total Nacional;06 Cantabria;Viajero;Residentes en España;2024M05;11.550
Total Nacional;06 Cantabria;Viajero;Residentes en España;2024M04;11.955
Total Nacional;06 Cantabria;Viajero;Residentes en España;2024M03;10.530
Total Nacional;06 Cantabria;Viajero;Residentes en España;2024M02;473
Total Nacional;06 Cantabria;Viajero;Residentes en España;2024M01;387
Total Nacional;06 Cantabria;Viajero;Residentes en España;2023M12;642
Total Nacional;06 Cantabria;Viajero;Residentes en España;2023M11;442
Total Nacional;06 Cantabria;Viajero;Residentes en España;2023M10;5.843
Total Nacional;06 Cantabria;Viajero;Residentes en España;2023M09;24.207
Total Nacional;06 Cantabria;Viajero;Residentes en España;2023M08;74.989
Total Nacional;06 Cantabria;Viajero;Residentes en España;2023M07;67.247
Total Nacional;06 Cantabria;Viajero;Residentes en España;2023M06;26.976
Total Nacional;06 Cantabria;Viajero;Residentes en España;2023M05;8.427
Total Nacional;06 Cantabria;Viajero;Residentes en España;2023M04;17.454
Total Nacional;06 Cantabria;Viajero;Residentes en España;2023M03;3.825
Total Nacional;06 Cantabria;Viajero;Residentes en España;2023M02;640
Total Nacional;06 Cantabria;Viajero;Residentes en España;2023M01;504
Total Nacional;06 Cantabria;Viajero;Residentes en España;2022M12;470
Total Nacional;06 Cantabria;Viajero;Residentes en España;2022M11;719
Total Nacional;06 Cantabria;Viajero;Residentes en España;2022M10;6.657
Total Nacional;06 Cantabria;Viajero;Residentes en España;2022M09;22.133
Total Nacional;06 Cantabria;Viajero;Residentes en España;2022M08;72.091
Total Nacional;06 Cantabria;Viajero;Residentes en España;2022M07;62.849
Total Nacional;06 Cantabria;Viajero;Residentes en España;2022M06;25.146
Total Nacional;06 Cantabria;Viajero;Residentes en España;2022M05;12.309
Total Nacional;06 Cantabria;Viajero;Residentes en España;2022M04;15.861
Total Nacional;06 Cantabria;Viajero;Residentes en España;2022M03;1.033
Total Nacional;06 Cantabria;Viajero;Residentes en España;2022M02;423
Total Nacional;06 Cantabria;Viajero;Residentes en España;2022M01;643
Total Nacional;06 Cantabria;Viajero;Residentes en España;2021M12;.
Total Nacional;06 Cantabria;Viajero;Residentes en España;2021M11;359
Total Nacional;06 Cantabria;Viajero;Residentes en España;2021M10;1.780
Total Nacional;06 Cantabria;Viajero;Residentes en España;2021M09;19.421
Total Nacional;06 Cantabria;Viajero;Residentes en España;2021M08;71.445
Total Nacional;06 Cantabria;Viajero;Residentes en España;2021M07;61.555
Total Nacional;06 Cantabria;Viajero;Residentes en España;2021M06;26.778
Total Nacional;06 Cantabria;Viajero;Residentes en España;2021M05;5.121
Total Nacional;06 Cantabria;Viajero;Residentes en España;2021M04;1.207
Total Nacional;06 Cantabria;Viajero;Residentes en España;2021M03;.
Total Nacional;06 Cantabria;Viajero;Residentes en España;2021M02;.
Total Nacional;06 Cantabria;Viajero;Residentes en España;2021M01;.
Total Nacional;06 Cantabria;Viajero;Residentes en España;2020M12;.
Total Nacional;06 Cantabria;Viajero;Residentes en España;2020M11;70
Total Nacional;06 Cantabria;Viajero;Residentes en España;2020M10;1.154
Total Nacional;06 Cantabria;Viajero;Residentes en España;2020M09;21.364
Total Nacional;06 Cantabria;Viajero;Residentes en España;2020M08;76.633
Total Nacional;06 Cantabria;Viajero;Residentes en España;2020M07;60.134
Total Nacional;06 Cantabria;Viajero;Residentes en España;2020M06;10.332
Total Nacional;06 Cantabria;Viajero;Residentes en España;2020M05;.
Total Nacional;06 Cantabria;Viajero;Residentes en España;2020M04;0
Total Nacional;06 Cantabria;Viajero;Residentes en España;2020M03;39
Total Nacional;06 Cantabria;Viajero;Residentes en España;2020M02;550
Total Nacional;06 Cantabria;Viajero;Residentes en España;2020M01;.
Total Nacional;06 Cantabria;Viajero;Residentes en España;2019M12;220
Total Nacional;06 Cantabria;Viajero;Residentes en España;2019M11;1.617
Total Nacional;06 Cantabria;Viajero;Residentes en España;2019M10;5.433
Total Nacional;06 Cantabria;Viajero;Residentes en España;2019M09;19.401
Total Nacional;06 Cantabria;Viajero;Residentes en España;2019M08;66.335
Total Nacional;06 Cantabria;Viajero;Residentes en España;2019M07;48.718
Total Nacional;06 Cantabria;Viajero;Residentes en España;2019M06;22.733
Total Nacional;06 Cantabria;Viajero;Residentes en España;2019M05;9.442
Total Nacional;06 Cantabria;Viajero;Residentes en España;2019M04;14.399
Total Nacional;06 Cantabria;Viajero;Residentes en España;2019M03;2.590
Total Nacional;06 Cantabria;Viajero;Residentes en España;2019M02;.
Total Nacional;06 Cantabria;Viajero;Residentes en España;2019M01;.
Total Nacional;06 Cantabria;Viajero;Residentes en España;2018M12;.
Total Nacional;06 Cantabria;Viajero;Residentes en España;2018M11;.
Total Nacional;06 Cantabria;Viajero;Residentes en España;2018M10;5.838
Total Nacional;06 Cantabria;Viajero;Residentes en España;2018M09;21.886
Total Nacional;06 Cantabria;Viajero;Residentes en España;2018M08;68.889
Total Nacional;06 Cantabria;Viajero;Residentes en España;2018M07;49.275
Total Nacional;06 Cantabria;Viajero;Residentes en España;2018M06;21.484
Total Nacional;06 Cantabria;Viajero;Residentes en España;2018M05;12.089
Total Nacional;06 Cantabria;Viajero;Residentes en España;2018M04;11.620
Total Nacional;06 Cantabria;Viajero;Residentes en España;2018M03;4.727
Total Nacional;06 Cantabria;Viajero;Residentes en España;2018M02;160
Total Nacional;06 Cantabria;Viajero;Residentes en España;2018M01;74
Total Nacional;06 Cantabria;Viajero;Residentes en España;2017M12;.
Total Nacional;06 Cantabria;Viajero;Residentes en España;2017M11;.
Total Nacional;06 Cantabria;Viajero;Residentes en España;2017M10;5.609
Total Nacional;06 Cantabria;Viajero;Residentes en España;2017M09;17.968
Total Nacional;06 Cantabria;Viajero;Residentes en España;2017M08;73.136
Total Nacional;06 Cantabria;Viajero;Residentes en España;2017M07;57.013
Total Nacional;06 Cantabria;Viajero;Residentes en España;2017M06;29.657
Total Nacional;06 Cantabria;Viajero;Residentes en España;2017M05;12.420
Total Nacional;06 Cantabria;Viajero;Residentes en España;2017M04;18.589
Total Nacional;06 Cantabria;Viajero;Residentes en España;2017M03;2.607
Total Nacional;06 Cantabria;Viajero;Residentes en España;2017M02;230
Total Nacional;06 Cantabria;Viajero;Residentes en España;2017M01;101
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2024M10;2.939
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2024M09;18.443
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2024M08;38.040
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2024M07;45.337
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2024M06;14.009
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2024M05;13.309
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2024M04;7.829
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2024M03;3.362
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2024M02;370
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2024M01;264
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2023M12;178
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2023M11;320
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2023M10;3.880
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2023M09;21.605
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2023M08;29.995
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2023M07;25.803
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2023M06;17.836
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2023M05;11.218
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2023M04;6.709
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2023M03;1.314
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2023M02;375
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2023M01;159
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2022M12;130
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2022M11;445
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2022M10;4.152
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2022M09;17.490
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2022M08;33.093
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2022M07;26.090
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2022M06;12.661
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2022M05;7.911
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2022M04;5.462
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2022M03;793
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2022M02;338
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2022M01;208
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2021M12;.
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2021M11;18
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2021M10;2.876
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2021M09;9.127
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2021M08;15.595
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2021M07;12.013
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2021M06;2.060
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2021M05;669
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2021M04;183
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2021M03;.
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2021M02;.
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2021M01;.
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2020M12;.
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2020M11;0
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2020M10;100
Total Nacional;06 Cantabria;Viajero;Residentes en el Extranjero;2020M09;1.786
