Totales Territoriales;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2021M01;.
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2020M12;.
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2020M11;.
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2020M10;3.792
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2020M09;16.319
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2020M08;79.164
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2020M07;55.731
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2020M06;8.809
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2020M05;.
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2020M04;0
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2020M03;325
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2020M02;1.076
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2020M01;327
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2019M12;500
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2019M11;559
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2019M10;1.310
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2019M09;11.528
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2019M08;63.250
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2019M07;38.614
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2019M06;10.983
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2019M05;3.586
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2019M04;8.576
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2019M03;1.077
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2019M02;697
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2019M01;""
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2018M12;.
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2018M11;.
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2018M10;2.185
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2018M09;12.595
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2018M08;65.718
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2018M07;30.685
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2018M06;10.538
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2018M05;2.695
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2018M04;3.049
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2018M03;1.616
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2018M02;477
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2018M01;208
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2017M12;.
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2017M11;.
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2017M10;2.454
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2017M09;9.494
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2017M08;61.656
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2017M07;41.244
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2017M06;11.282
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2017M05;3.898
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2017M04;9.681
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2017M03;1.326
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2017M02;656
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2017M01;182
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2016M12;.
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2016M11;625
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2016M10;2.144
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2016M09;12.239
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2016M08;63.399
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2016M07;39.755
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2016M06;10.385
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2016M05;3.118
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2016M04;2.805
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2016M03;4.753
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2016M02;468
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2016M01;.
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2015M12;378
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2015M11;729
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2015M10;2.240
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2015M09;8.751
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2015M08;57.596
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2015M07;34.048
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2015M06;10.042
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2015M05;3.950
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2015M04;5.466
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2015M03;1.238
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2015M02;353
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2015M01;182
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2014M12;397
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2014M11;447
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2014M10;1.484
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2014M09;10.647
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2014M08;53.764
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2014M07;30.722
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2014M06;10.203
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2014M05;3.050
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2014M04;5.417
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2014M03;1.194
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2014M02;515
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2014M01;170
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2013M12;436
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2013M11;1.040
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2013M10;1.800
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2013M09;12.706
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2013M08;57.150
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2013M07;32.927
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2013M06;12.046
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2013M05;3.672
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2013M04;2.510
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2013M03;3.502
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2013M02;419
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2013M01;303
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2012M12;430
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2012M11;834
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2012M10;1.826
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2012M09;10.087
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2012M08;63.893
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2012M07;36.143
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2012M06;11.110
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2012M05;3.309
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2012M04;4.697
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2012M03;2.070
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2012M02;541
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2012M01;541
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2011M12;836
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2011M11;1.094
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2011M10;2.722
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2011M09;10.306
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2011M08;59.471
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2011M07;40.137
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2011M06;13.213
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2011M05;4.561
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2011M04;7.355
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2011M03;1.279
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2011M02;479
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2011M01;385
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2010M12;532
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2010M11;889
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2010M10;2.290
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2010M09;10.745
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2010M08;63.857
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2010M07;38.517
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2010M06;9.548
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2010M05;4.253
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2010M04;5.315
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2010M03;2.471
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2010M02;562
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2010M01;460
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2009M12;882
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2009M11;996
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2009M10;2.271
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2009M09;9.847
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2009M08;55.151
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2009M07;39.594
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2009M06;12.103
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2009M05;4.981
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2009M04;6.033
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2009M03;2.372
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2009M02;785
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2009M01;685
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2008M12;708
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2008M11;875
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2008M10;2.138
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2008M09;7.376
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2008M08;55.330
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2008M07;31.967
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2008M06;8.949
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2008M05;3.134
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2008M04;3.280
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2008M03;3.871
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2008M02;721
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2008M01;541
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2007M12;779
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2007M11;1.426
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2007M10;2.534
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2007M09;8.099
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2007M08;66.820
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2007M07;40.041
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2007M06;11.650
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2007M05;2.758
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2007M04;8.054
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2007M03;1.489
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2007M02;404
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2007M01;322
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2006M12;444
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2006M11;928
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2006M10;1.545
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2006M09;10.513
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2006M08;75.439
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2006M07;48.112
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2006M06;11.340
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2006M05;4.020
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2006M04;9.888
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2006M03;1.059
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2006M02;750
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2006M01;372
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2005M12;795
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2005M11;1.449
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2005M10;1.857
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2005M09;11.167
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2005M08;81.672
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2005M07;52.586
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2005M06;12.855
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2005M05;4.166
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2005M04;4.547
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2005M03;6.113
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2005M02;673
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2005M01;898
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2004M12;..
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2004M11;1.503
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2004M10;2.375
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2004M09;13.402
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2004M08;102.217
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2004M07;48.636
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2004M06;15.646
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2004M05;3.765
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2004M04;7.346
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2004M03;1.231
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2004M02;536
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2004M01;626
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2003M12;442
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2003M11;1.056
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2003M10;1.567
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2003M09;13.617
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2003M08;126.945
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2003M07;69.480
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2003M06;13.510
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2003M05;6.900
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2003M04;8.862
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2003M03;1.131
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2003M02;394
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2003M01;278
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2002M12;261
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2002M11;651
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2002M10;1.209
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2002M09;10.089
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2002M08;63.747
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2002M07;46.008
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2002M06;8.499
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2002M05;2.267
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2002M04;2.194
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2002M03;7.144
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2002M02;192
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2002M01;124
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2001M12;124
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2001M11;480
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2001M10;886
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2001M09;7.914
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2001M08;68.908
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2001M07;40.116
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2001M06;8.440
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2001M05;996
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2001M04;5.623
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2001M03;301
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2001M02;132
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2001M01;159
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2000M12;301
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2000M11;137
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2000M10;452
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2000M09;8.347
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2000M08;58.706
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2000M07;43.602
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2000M06;7.269
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2000M05;806
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2000M04;4.616
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2000M03;337
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2000M02;207
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;2000M01;133
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;1999M12;259
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;1999M11;450
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;1999M10;976
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;1999M09;8.173
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;1999M08;62.203
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;1999M07;33.991
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;1999M06;4.585
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;1999M05;573
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;1999M04;1.730
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;1999M03;567
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;1999M02;240
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en España;1999M01;173
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2025M02;231
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2025M01;119
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2024M12;.
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2024M11;545
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2024M10;2.004
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2024M09;14.713
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2024M08;32.918
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2024M07;30.427
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2024M06;11.949
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2024M05;6.506
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2024M04;3.462
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2024M03;1.217
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2024M02;.
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2024M01;.
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2023M12;.
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2023M11;289
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2023M10;2.410
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2023M09;18.744
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2023M08;30.266
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2023M07;27.331
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2023M06;14.858
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2023M05;6.876
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2023M04;.
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2023M03;.
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2023M02;.
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2023M01;.
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2022M12;114
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2022M11;390
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2022M10;1.562
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2022M09;12.801
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2022M08;28.450
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2022M07;24.730
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2022M06;11.263
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2022M05;5.727
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2022M04;2.808
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2022M03;.
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2022M02;165
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2022M01;.
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2021M12;.
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2021M11;242
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2021M10;766
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2021M09;7.858
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2021M08;14.038
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2021M07;8.611
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2021M06;1.699
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2021M05;373
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2021M04;33
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2021M03;16
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2021M02;49
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2021M01;.
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2020M12;.
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2020M11;.
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2020M10;75
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2020M09;1.264
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2020M08;6.089
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2020M07;4.881
Total Nacional;03 Asturias, Principado de;Viajero;Total;Residentes en el Extranjero;2020M06;68
