Totales Territoriales;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;;Viajero;Total;;2015M04;520.566
Total Nacional;;Viajero;Total;;2015M03;229.662
Total Nacional;;Viajero;Total;;2015M02;122.045
Total Nacional;;Viajero;Total;;2015M01;108.857
Total Nacional;;Viajero;Total;;2014M12;133.657
Total Nacional;;Viajero;Total;;2014M11;134.657
Total Nacional;;Viajero;Total;;2014M10;280.913
Total Nacional;;Viajero;Total;;2014M09;596.184
Total Nacional;;Viajero;Total;;2014M08;1.751.010
Total Nacional;;Viajero;Total;;2014M07;1.280.236
Total Nacional;;Viajero;Total;;2014M06;736.412
Total Nacional;;Viajero;Total;;2014M05;502.257
Total Nacional;;Viajero;Total;;2014M04;506.324
Total Nacional;;Viajero;Total;;2014M03;197.143
Total Nacional;;Viajero;Total;;2014M02;118.020
Total Nacional;;Viajero;Total;;2014M01;95.617
Total Nacional;;Viajero;Total;;2013M12;114.503
Total Nacional;;Viajero;Total;;2013M11;138.543
Total Nacional;;Viajero;Total;;2013M10;252.842
Total Nacional;;Viajero;Total;;2013M09;544.101
Total Nacional;;Viajero;Total;;2013M08;1.684.224
Total Nacional;;Viajero;Total;;2013M07;1.297.028
Total Nacional;;Viajero;Total;;2013M06;727.879
Total Nacional;;Viajero;Total;;2013M05;459.009
Total Nacional;;Viajero;Total;;2013M04;325.761
Total Nacional;;Viajero;Total;;2013M03;325.194
Total Nacional;;Viajero;Total;;2013M02;103.405
Total Nacional;;Viajero;Total;;2013M01;85.028
Total Nacional;;Viajero;Total;;2012M12;101.500
Total Nacional;;Viajero;Total;;2012M11;114.562
Total Nacional;;Viajero;Total;;2012M10;223.562
Total Nacional;;Viajero;Total;;2012M09;555.144
Total Nacional;;Viajero;Total;;2012M08;1.655.465
Total Nacional;;Viajero;Total;;2012M07;1.318.630
Total Nacional;;Viajero;Total;;2012M06;705.262
Total Nacional;;Viajero;Total;;2012M05;415.902
Total Nacional;;Viajero;Total;;2012M04;439.009
Total Nacional;;Viajero;Total;;2012M03;193.058
Total Nacional;;Viajero;Total;;2012M02;102.064
Total Nacional;;Viajero;Total;;2012M01;89.644
Total Nacional;;Viajero;Total;;2011M12;106.091
Total Nacional;;Viajero;Total;;2011M11;113.638
Total Nacional;;Viajero;Total;;2011M10;247.246
Total Nacional;;Viajero;Total;;2011M09;566.683
Total Nacional;;Viajero;Total;;2011M08;1.723.808
Total Nacional;;Viajero;Total;;2011M07;1.421.490
Total Nacional;;Viajero;Total;;2011M06;696.694
Total Nacional;;Viajero;Total;;2011M05;412.952
Total Nacional;;Viajero;Total;;2011M04;484.355
Total Nacional;;Viajero;Total;;2011M03;175.935
Total Nacional;;Viajero;Total;;2011M02;111.076
Total Nacional;;Viajero;Total;;2011M01;89.311
Total Nacional;;Viajero;Total;;2010M12;105.562
Total Nacional;;Viajero;Total;;2010M11;101.891
Total Nacional;;Viajero;Total;;2010M10;256.015
Total Nacional;;Viajero;Total;;2010M09;514.243
Total Nacional;;Viajero;Total;;2010M08;1.761.470
Total Nacional;;Viajero;Total;;2010M07;1.407.573
Total Nacional;;Viajero;Total;;2010M06;655.687
Total Nacional;;Viajero;Total;;2010M05;462.850
Total Nacional;;Viajero;Total;;2010M04;439.940
Total Nacional;;Viajero;Total;;2010M03;215.418
Total Nacional;;Viajero;Total;;2010M02;103.496
Total Nacional;;Viajero;Total;;2010M01;90.918
Total Nacional;;Viajero;Total;;2009M12;109.308
Total Nacional;;Viajero;Total;;2009M11;114.480
Total Nacional;;Viajero;Total;;2009M10;262.725
Total Nacional;;Viajero;Total;;2009M09;510.723
Total Nacional;;Viajero;Total;;2009M08;1.754.069
Total Nacional;;Viajero;Total;;2009M07;1.413.583
Total Nacional;;Viajero;Total;;2009M06;659.521
Total Nacional;;Viajero;Total;;2009M05;474.931
Total Nacional;;Viajero;Total;;2009M04;473.928
Total Nacional;;Viajero;Total;;2009M03;197.558
Total Nacional;;Viajero;Total;;2009M02;114.637
Total Nacional;;Viajero;Total;;2009M01;94.151
Total Nacional;;Viajero;Total;;2008M12;114.244
Total Nacional;;Viajero;Total;;2008M11;123.931
Total Nacional;;Viajero;Total;;2008M10;214.447
Total Nacional;;Viajero;Total;;2008M09;526.153
Total Nacional;;Viajero;Total;;2008M08;1.836.059
Total Nacional;;Viajero;Total;;2008M07;1.412.116
Total Nacional;;Viajero;Total;;2008M06;677.078
Total Nacional;;Viajero;Total;;2008M05;455.136
Total Nacional;;Viajero;Total;;2008M04;326.294
