Totales Territoriales;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;04 Balears, Illes;2001M01;..
Total Nacional;04 Balears, Illes;2000M12;..
Total Nacional;04 Balears, Illes;2000M11;..
Total Nacional;04 Balears, Illes;2000M10;..
Total Nacional;04 Balears, Illes;2000M09;4
Total Nacional;04 Balears, Illes;2000M08;7
Total Nacional;04 Balears, Illes;2000M07;4
Total Nacional;04 Balears, Illes;2000M06;5
Total Nacional;04 Balears, Illes;2000M05;8
Total Nacional;04 Balears, Illes;2000M04;5
Total Nacional;04 Balears, Illes;2000M03;..
Total Nacional;04 Balears, Illes;2000M02;..
Total Nacional;04 Balears, Illes;2000M01;..
Total Nacional;04 Balears, Illes;1999M12;0
Total Nacional;04 Balears, Illes;1999M11;0
Total Nacional;04 Balears, Illes;1999M10;0
Total Nacional;04 Balears, Illes;1999M09;5,31
Total Nacional;04 Balears, Illes;1999M08;6,16
Total Nacional;04 Balears, Illes;1999M07;5,39
Total Nacional;04 Balears, Illes;1999M06;3,4
Total Nacional;04 Balears, Illes;1999M05;5,35
Total Nacional;04 Balears, Illes;1999M04;2,35
Total Nacional;04 Balears, Illes;1999M03;..
Total Nacional;04 Balears, Illes;1999M02;..
Total Nacional;04 Balears, Illes;1999M01;0
Total Nacional;05 Canarias;2025M02;.
Total Nacional;05 Canarias;2025M01;.
Total Nacional;05 Canarias;2024M12;.
Total Nacional;05 Canarias;2024M11;.
Total Nacional;05 Canarias;2024M10;.
Total Nacional;05 Canarias;2024M09;3,78
Total Nacional;05 Canarias;2024M08;3,02
Total Nacional;05 Canarias;2024M07;4,34
Total Nacional;05 Canarias;2024M06;3,87
Total Nacional;05 Canarias;2024M05;4,01
Total Nacional;05 Canarias;2024M04;4,34
Total Nacional;05 Canarias;2024M03;2,44
Total Nacional;05 Canarias;2024M02;5,6
Total Nacional;05 Canarias;2024M01;5,12
Total Nacional;05 Canarias;2023M12;5,05
Total Nacional;05 Canarias;2023M11;4,54
Total Nacional;05 Canarias;2023M10;3,83
Total Nacional;05 Canarias;2023M09;4,34
Total Nacional;05 Canarias;2023M08;3,96
Total Nacional;05 Canarias;2023M07;3,86
Total Nacional;05 Canarias;2023M06;3,44
Total Nacional;05 Canarias;2023M05;3,85
Total Nacional;05 Canarias;2023M04;4,1
Total Nacional;05 Canarias;2023M03;4,88
Total Nacional;05 Canarias;2023M02;5,07
Total Nacional;05 Canarias;2023M01;5,57
Total Nacional;05 Canarias;2022M12;5,44
Total Nacional;05 Canarias;2022M11;4,2
Total Nacional;05 Canarias;2022M10;3,63
Total Nacional;05 Canarias;2022M09;3,55
Total Nacional;05 Canarias;2022M08;3,59
Total Nacional;05 Canarias;2022M07;3,71
Total Nacional;05 Canarias;2022M06;2,97
Total Nacional;05 Canarias;2022M05;3,25
Total Nacional;05 Canarias;2022M04;3,92
Total Nacional;05 Canarias;2022M03;5,66
Total Nacional;05 Canarias;2022M02;6,56
Total Nacional;05 Canarias;2022M01;5,63
Total Nacional;05 Canarias;2021M12;4,81
Total Nacional;05 Canarias;2021M11;4,17
Total Nacional;05 Canarias;2021M10;3,3
Total Nacional;05 Canarias;2021M09;4,48
Total Nacional;05 Canarias;2021M08;5,1
Total Nacional;05 Canarias;2021M07;6,64
Total Nacional;05 Canarias;2021M06;3,75
Total Nacional;05 Canarias;2021M05;3,43
Total Nacional;05 Canarias;2021M04;14,72
Total Nacional;05 Canarias;2021M03;5,63
Total Nacional;05 Canarias;2021M02;6,27
Total Nacional;05 Canarias;2021M01;7,76
Total Nacional;05 Canarias;2020M12;6,93
Total Nacional;05 Canarias;2020M11;5,89
Total Nacional;05 Canarias;2020M10;.
Total Nacional;05 Canarias;2020M09;3,98
Total Nacional;05 Canarias;2020M08;3,83
Total Nacional;05 Canarias;2020M07;3,89
Total Nacional;05 Canarias;2020M06;.
Total Nacional;05 Canarias;2020M05;.
Total Nacional;05 Canarias;2020M04;0
Total Nacional;05 Canarias;2020M03;.
Total Nacional;05 Canarias;2020M02;5,89
Total Nacional;05 Canarias;2020M01;7,06
Total Nacional;05 Canarias;2019M12;6,49
Total Nacional;05 Canarias;2019M11;5,67
Total Nacional;05 Canarias;2019M10;3,52
Total Nacional;05 Canarias;2019M09;3,6
Total Nacional;05 Canarias;2019M08;4,63
Total Nacional;05 Canarias;2019M07;4,07
Total Nacional;05 Canarias;2019M06;2,9
Total Nacional;05 Canarias;2019M05;3,07
Total Nacional;05 Canarias;2019M04;3,25
Total Nacional;05 Canarias;2019M03;3,86
Total Nacional;05 Canarias;2019M02;4,34
Total Nacional;05 Canarias;2019M01;4,24
Total Nacional;05 Canarias;2018M12;4,49
Total Nacional;05 Canarias;2018M11;3,98
Total Nacional;05 Canarias;2018M10;2,99
Total Nacional;05 Canarias;2018M09;3,16
Total Nacional;05 Canarias;2018M08;4,17
Total Nacional;05 Canarias;2018M07;3,7
Total Nacional;05 Canarias;2018M06;2,78
Total Nacional;05 Canarias;2018M05;3,41
Total Nacional;05 Canarias;2018M04;.
Total Nacional;05 Canarias;2018M03;.
Total Nacional;05 Canarias;2018M02;.
Total Nacional;05 Canarias;2018M01;.
Total Nacional;05 Canarias;2017M12;4,9
Total Nacional;05 Canarias;2017M11;5,09
Total Nacional;05 Canarias;2017M10;3,7
Total Nacional;05 Canarias;2017M09;3,45
Total Nacional;05 Canarias;2017M08;4,56
Total Nacional;05 Canarias;2017M07;4,02
Total Nacional;05 Canarias;2017M06;3,07
Total Nacional;05 Canarias;2017M05;3,31
Total Nacional;05 Canarias;2017M04;.
Total Nacional;05 Canarias;2017M03;.
Total Nacional;05 Canarias;2017M02;5,1
Total Nacional;05 Canarias;2017M01;5,37
Total Nacional;05 Canarias;2016M12;4,65
Total Nacional;05 Canarias;2016M11;5,01
Total Nacional;05 Canarias;2016M10;3,72
Total Nacional;05 Canarias;2016M09;3,47
Total Nacional;05 Canarias;2016M08;4,59
Total Nacional;05 Canarias;2016M07;4,46
Total Nacional;05 Canarias;2016M06;3,01
Total Nacional;05 Canarias;2016M05;3,15
Total Nacional;05 Canarias;2016M04;.
Total Nacional;05 Canarias;2016M03;.
Total Nacional;05 Canarias;2016M02;5,45
Total Nacional;05 Canarias;2016M01;5,79
Total Nacional;05 Canarias;2015M12;5,63
Total Nacional;05 Canarias;2015M11;5,53
Total Nacional;05 Canarias;2015M10;.
Total Nacional;05 Canarias;2015M09;3,35
Total Nacional;05 Canarias;2015M08;4,67
Total Nacional;05 Canarias;2015M07;3,71
Total Nacional;05 Canarias;2015M06;2,95
Total Nacional;05 Canarias;2015M05;3,13
Total Nacional;05 Canarias;2015M04;3,36
Total Nacional;05 Canarias;2015M03;.
Total Nacional;05 Canarias;2015M02;5,38
Total Nacional;05 Canarias;2015M01;4,56
Total Nacional;05 Canarias;2014M12;4,98
Total Nacional;05 Canarias;2014M11;3,26
Total Nacional;05 Canarias;2014M10;.
Total Nacional;05 Canarias;2014M09;3,43
Total Nacional;05 Canarias;2014M08;4,16
Total Nacional;05 Canarias;2014M07;4,27
Total Nacional;05 Canarias;2014M06;3,04
Total Nacional;05 Canarias;2014M05;3,23
Total Nacional;05 Canarias;2014M04;4,15
Total Nacional;05 Canarias;2014M03;.
Total Nacional;05 Canarias;2014M02;6,58
Total Nacional;05 Canarias;2014M01;6,59
Total Nacional;05 Canarias;2013M12;7,9
Total Nacional;05 Canarias;2013M11;6,97
Total Nacional;05 Canarias;2013M10;..
Total Nacional;05 Canarias;2013M09;4,16
Total Nacional;05 Canarias;2013M08;4,32
Total Nacional;05 Canarias;2013M07;4,6
Total Nacional;05 Canarias;2013M06;3,57
Total Nacional;05 Canarias;2013M05;3,62
Total Nacional;05 Canarias;2013M04;..
Total Nacional;05 Canarias;2013M03;..
Total Nacional;05 Canarias;2013M02;6,88
Total Nacional;05 Canarias;2013M01;7,11
Total Nacional;05 Canarias;2012M12;7,3
Total Nacional;05 Canarias;2012M11;6,75
Total Nacional;05 Canarias;2012M10;..
Total Nacional;05 Canarias;2012M09;4,95
Total Nacional;05 Canarias;2012M08;4,65
Total Nacional;05 Canarias;2012M07;4,28
Total Nacional;05 Canarias;2012M06;3,9
Total Nacional;05 Canarias;2012M05;3,61
Total Nacional;05 Canarias;2012M04;3,89
Total Nacional;05 Canarias;2012M03;..
Total Nacional;05 Canarias;2012M02;6,38
Total Nacional;05 Canarias;2012M01;8,51
Total Nacional;05 Canarias;2011M12;7,02
Total Nacional;05 Canarias;2011M11;8,35
Total Nacional;05 Canarias;2011M10;""
Total Nacional;05 Canarias;2011M09;3,62
Total Nacional;05 Canarias;2011M08;5,25
Total Nacional;05 Canarias;2011M07;4,79
Total Nacional;05 Canarias;2011M06;3,79
Total Nacional;05 Canarias;2011M05;3,59
Total Nacional;05 Canarias;2011M04;""
Total Nacional;05 Canarias;2011M03;""
Total Nacional;05 Canarias;2011M02;8,7
Total Nacional;05 Canarias;2011M01;12,12
Total Nacional;05 Canarias;2010M12;9,42
Total Nacional;05 Canarias;2010M11;8,39
Total Nacional;05 Canarias;2010M10;""
Total Nacional;05 Canarias;2010M09;5,38
Total Nacional;05 Canarias;2010M08;16,76
Total Nacional;05 Canarias;2010M07;13,38
Total Nacional;05 Canarias;2010M06;4,44
Total Nacional;05 Canarias;2010M05;""
Total Nacional;05 Canarias;2010M04;""
Total Nacional;05 Canarias;2010M03;""
Total Nacional;05 Canarias;2010M02;7,35
Total Nacional;05 Canarias;2010M01;6,96
Total Nacional;05 Canarias;2009M12;6,66
Total Nacional;05 Canarias;2009M11;7,06
Total Nacional;05 Canarias;2009M10;5,76
Total Nacional;05 Canarias;2009M09;5,03
Total Nacional;05 Canarias;2009M08;4,87
Total Nacional;05 Canarias;2009M07;4,36
Total Nacional;05 Canarias;2009M06;4,15
Total Nacional;05 Canarias;2009M05;5,48
Total Nacional;05 Canarias;2009M04;4,9
Total Nacional;05 Canarias;2009M03;..
Total Nacional;05 Canarias;2009M02;9,69
Total Nacional;05 Canarias;2009M01;9,94
Total Nacional;05 Canarias;2008M12;8,88
Total Nacional;05 Canarias;2008M11;7,99
Total Nacional;05 Canarias;2008M10;6,98
Total Nacional;05 Canarias;2008M09;3,63
Total Nacional;05 Canarias;2008M08;6
Total Nacional;05 Canarias;2008M07;5,47
Total Nacional;05 Canarias;2008M06;5,4
Total Nacional;05 Canarias;2008M05;5,82
Total Nacional;05 Canarias;2008M04;..
Total Nacional;05 Canarias;2008M03;..
Total Nacional;05 Canarias;2008M02;8,63
Total Nacional;05 Canarias;2008M01;11,18
Total Nacional;05 Canarias;2007M12;10,44
Total Nacional;05 Canarias;2007M11;8,7
Total Nacional;05 Canarias;2007M10;8,05
Total Nacional;05 Canarias;2007M09;8,1
Total Nacional;05 Canarias;2007M08;5,21
Total Nacional;05 Canarias;2007M07;5,02
Total Nacional;05 Canarias;2007M06;4,57
Total Nacional;05 Canarias;2007M05;5,18
Total Nacional;05 Canarias;2007M04;..
Total Nacional;05 Canarias;2007M03;..
Total Nacional;05 Canarias;2007M02;7,23
Total Nacional;05 Canarias;2007M01;7,17
Total Nacional;05 Canarias;2006M12;7,57
Total Nacional;05 Canarias;2006M11;7,81
Total Nacional;05 Canarias;2006M10;6,5
Total Nacional;05 Canarias;2006M09;5,7
Total Nacional;05 Canarias;2006M08;4,99
Total Nacional;05 Canarias;2006M07;4,95
Total Nacional;05 Canarias;2006M06;3,95
Total Nacional;05 Canarias;2006M05;4,27
Total Nacional;05 Canarias;2006M04;..
Total Nacional;05 Canarias;2006M03;..
Total Nacional;05 Canarias;2006M02;7,51
Total Nacional;05 Canarias;2006M01;7,15
Total Nacional;05 Canarias;2005M12;7,24
Total Nacional;05 Canarias;2005M11;7,03
Total Nacional;05 Canarias;2005M10;6,31
Total Nacional;05 Canarias;2005M09;5,11
Total Nacional;05 Canarias;2005M08;3,99
Total Nacional;05 Canarias;2005M07;5,01
Total Nacional;05 Canarias;2005M06;3,68
Total Nacional;05 Canarias;2005M05;3,73
Total Nacional;05 Canarias;2005M04;5,17
Total Nacional;05 Canarias;2005M03;5,1
Total Nacional;05 Canarias;2005M02;8,18
Total Nacional;05 Canarias;2005M01;9,41
Total Nacional;05 Canarias;2004M12;5,75
Total Nacional;05 Canarias;2004M11;5,9
Total Nacional;05 Canarias;2004M10;..
Total Nacional;05 Canarias;2004M09;5,1
Total Nacional;05 Canarias;2004M08;4,14
Total Nacional;05 Canarias;2004M07;4,95
Total Nacional;05 Canarias;2004M06;3,29
Total Nacional;05 Canarias;2004M05;..
Total Nacional;05 Canarias;2004M04;..
Total Nacional;05 Canarias;2004M03;7,46
Total Nacional;05 Canarias;2004M02;7,56
Total Nacional;05 Canarias;2004M01;7,58
Total Nacional;05 Canarias;2003M12;4,8
Total Nacional;05 Canarias;2003M11;4,99
Total Nacional;05 Canarias;2003M10;4,37
Total Nacional;05 Canarias;2003M09;4,01
Total Nacional;05 Canarias;2003M08;3,8
Total Nacional;05 Canarias;2003M07;4,33
Total Nacional;05 Canarias;2003M06;3,75
Total Nacional;05 Canarias;2003M05;4,11
Total Nacional;05 Canarias;2003M04;..
Total Nacional;05 Canarias;2003M03;5,56
Total Nacional;05 Canarias;2003M02;7,73
Total Nacional;05 Canarias;2003M01;8,89
Total Nacional;05 Canarias;2002M12;8,09
Total Nacional;05 Canarias;2002M11;4,67
Total Nacional;05 Canarias;2002M10;..
Total Nacional;05 Canarias;2002M09;4,81
Total Nacional;05 Canarias;2002M08;5,28
Total Nacional;05 Canarias;2002M07;5,02
Total Nacional;05 Canarias;2002M06;5,85
Total Nacional;05 Canarias;2002M05;6,94
Total Nacional;05 Canarias;2002M04;..
Total Nacional;05 Canarias;2002M03;10,51
Total Nacional;05 Canarias;2002M02;13,67
Total Nacional;05 Canarias;2002M01;15,88
Total Nacional;05 Canarias;2001M12;10,24
Total Nacional;05 Canarias;2001M11;6,76
Total Nacional;05 Canarias;2001M10;6,83
Total Nacional;05 Canarias;2001M09;6,34
Total Nacional;05 Canarias;2001M08;4,91
Total Nacional;05 Canarias;2001M07;3,77
Total Nacional;05 Canarias;2001M06;5,59
Total Nacional;05 Canarias;2001M05;4,2
Total Nacional;05 Canarias;2001M04;4,39
Total Nacional;05 Canarias;2001M03;7,75
Total Nacional;05 Canarias;2001M02;10,11
Total Nacional;05 Canarias;2001M01;6,91
Total Nacional;05 Canarias;2000M12;8
Total Nacional;05 Canarias;2000M11;9
Total Nacional;05 Canarias;2000M10;9
Total Nacional;05 Canarias;2000M09;6
Total Nacional;05 Canarias;2000M08;6
Total Nacional;05 Canarias;2000M07;5
Total Nacional;05 Canarias;2000M06;4
Total Nacional;05 Canarias;2000M05;5
Total Nacional;05 Canarias;2000M04;11
Total Nacional;05 Canarias;2000M03;9
Total Nacional;05 Canarias;2000M02;13
Total Nacional;05 Canarias;2000M01;10
Total Nacional;05 Canarias;1999M12;19,75
Total Nacional;05 Canarias;1999M11;6,51
Total Nacional;05 Canarias;1999M10;5,21
Total Nacional;05 Canarias;1999M09;2,4
Total Nacional;05 Canarias;1999M08;4,55
Total Nacional;05 Canarias;1999M07;4,63
Total Nacional;05 Canarias;1999M06;6,39
Total Nacional;05 Canarias;1999M05;8,11
Total Nacional;05 Canarias;1999M04;5,65
Total Nacional;05 Canarias;1999M03;5,23
Total Nacional;05 Canarias;1999M02;..
Total Nacional;05 Canarias;1999M01;0
Total Nacional;06 Cantabria;2025M02;1,71
Total Nacional;06 Cantabria;2025M01;1,54
Total Nacional;06 Cantabria;2024M12;1,59
Total Nacional;06 Cantabria;2024M11;2,49
Total Nacional;06 Cantabria;2024M10;2,42
Total Nacional;06 Cantabria;2024M09;5,4
Total Nacional;06 Cantabria;2024M08;4,74
Total Nacional;06 Cantabria;2024M07;4,6
Total Nacional;06 Cantabria;2024M06;4,7
Total Nacional;06 Cantabria;2024M05;5,79
Total Nacional;06 Cantabria;2024M04;3,72
Total Nacional;06 Cantabria;2024M03;4,52
Total Nacional;06 Cantabria;2024M02;1,61
Total Nacional;06 Cantabria;2024M01;1,85
Total Nacional;06 Cantabria;2023M12;1,31
Total Nacional;06 Cantabria;2023M11;1,93
Total Nacional;06 Cantabria;2023M10;4,17
Total Nacional;06 Cantabria;2023M09;4,54
Total Nacional;06 Cantabria;2023M08;4,25
Total Nacional;06 Cantabria;2023M07;4,2
Total Nacional;06 Cantabria;2023M06;4,31
Total Nacional;06 Cantabria;2023M05;5,59
Total Nacional;06 Cantabria;2023M04;6,1
Total Nacional;06 Cantabria;2023M03;4,84
Total Nacional;06 Cantabria;2023M02;1,45
Total Nacional;06 Cantabria;2023M01;1,56
Total Nacional;06 Cantabria;2022M12;1,53
Total Nacional;06 Cantabria;2022M11;1,75
Total Nacional;06 Cantabria;2022M10;2,39
Total Nacional;06 Cantabria;2022M09;4,9
Total Nacional;06 Cantabria;2022M08;4,19
Total Nacional;06 Cantabria;2022M07;4,23
Total Nacional;06 Cantabria;2022M06;4,83
Total Nacional;06 Cantabria;2022M05;4,74
Total Nacional;06 Cantabria;2022M04;4,26
Total Nacional;06 Cantabria;2022M03;1,79
Total Nacional;06 Cantabria;2022M02;1,62
Total Nacional;06 Cantabria;2022M01;1,6
Total Nacional;06 Cantabria;2021M12;.
Total Nacional;06 Cantabria;2021M11;3,29
Total Nacional;06 Cantabria;2021M10;3,31
Total Nacional;06 Cantabria;2021M09;5,04
Total Nacional;06 Cantabria;2021M08;4,14
Total Nacional;06 Cantabria;2021M07;4,28
Total Nacional;06 Cantabria;2021M06;4,96
Total Nacional;06 Cantabria;2021M05;3,75
Total Nacional;06 Cantabria;2021M04;5,79
Total Nacional;06 Cantabria;2021M03;.
Total Nacional;06 Cantabria;2021M02;.
Total Nacional;06 Cantabria;2021M01;.
Total Nacional;06 Cantabria;2020M12;.
Total Nacional;06 Cantabria;2020M11;3,71
Total Nacional;06 Cantabria;2020M10;5,4
Total Nacional;06 Cantabria;2020M09;4,11
Total Nacional;06 Cantabria;2020M08;5,71
Total Nacional;06 Cantabria;2020M07;5,05
Total Nacional;06 Cantabria;2020M06;3,34
Total Nacional;06 Cantabria;2020M05;.
Total Nacional;06 Cantabria;2020M04;0
Total Nacional;06 Cantabria;2020M03;2,25
Total Nacional;06 Cantabria;2020M02;1,53
Total Nacional;06 Cantabria;2020M01;.
Total Nacional;06 Cantabria;2019M12;2,13
Total Nacional;06 Cantabria;2019M11;1,78
Total Nacional;06 Cantabria;2019M10;4,52
Total Nacional;06 Cantabria;2019M09;5,2
Total Nacional;06 Cantabria;2019M08;5,24
Total Nacional;06 Cantabria;2019M07;5,16
Total Nacional;06 Cantabria;2019M06;4,72
Total Nacional;06 Cantabria;2019M05;5,76
Total Nacional;06 Cantabria;2019M04;5,33
Total Nacional;06 Cantabria;2019M03;2,21
Total Nacional;06 Cantabria;2019M02;.
Total Nacional;06 Cantabria;2019M01;.
Total Nacional;06 Cantabria;2018M12;1,92
Total Nacional;06 Cantabria;2018M11;2,63
Total Nacional;06 Cantabria;2018M10;2,63
Total Nacional;06 Cantabria;2018M09;4,24
Total Nacional;06 Cantabria;2018M08;4,88
Total Nacional;06 Cantabria;2018M07;4,85
Total Nacional;06 Cantabria;2018M06;3,97
Total Nacional;06 Cantabria;2018M05;5
Total Nacional;06 Cantabria;2018M04;5,71
Total Nacional;06 Cantabria;2018M03;3,07
Total Nacional;06 Cantabria;2018M02;2,09
Total Nacional;06 Cantabria;2018M01;1,81
Total Nacional;06 Cantabria;2017M12;2,05
Total Nacional;06 Cantabria;2017M11;2,09
Total Nacional;06 Cantabria;2017M10;2,23
Total Nacional;06 Cantabria;2017M09;4,21
Total Nacional;06 Cantabria;2017M08;4,67
Total Nacional;06 Cantabria;2017M07;4,43
Total Nacional;06 Cantabria;2017M06;3,86
Total Nacional;06 Cantabria;2017M05;5,01
Total Nacional;06 Cantabria;2017M04;4,34
Total Nacional;06 Cantabria;2017M03;2,97
Total Nacional;06 Cantabria;2017M02;2,36
Total Nacional;06 Cantabria;2017M01;2,26
Total Nacional;06 Cantabria;2016M12;2,48
Total Nacional;06 Cantabria;2016M11;2,02
Total Nacional;06 Cantabria;2016M10;3,15
Total Nacional;06 Cantabria;2016M09;4,61
Total Nacional;06 Cantabria;2016M08;4,66
Total Nacional;06 Cantabria;2016M07;4,69
Total Nacional;06 Cantabria;2016M06;4,05
Total Nacional;06 Cantabria;2016M05;5,24
Total Nacional;06 Cantabria;2016M04;6,71
Total Nacional;06 Cantabria;2016M03;3,78
Total Nacional;06 Cantabria;2016M02;3,41
Total Nacional;06 Cantabria;2016M01;2,8
Total Nacional;06 Cantabria;2015M12;3,7
Total Nacional;06 Cantabria;2015M11;2,12
Total Nacional;06 Cantabria;2015M10;2,94
Total Nacional;06 Cantabria;2015M09;5,05
Total Nacional;06 Cantabria;2015M08;5,17
Total Nacional;06 Cantabria;2015M07;4,9
Total Nacional;06 Cantabria;2015M06;3,81
Total Nacional;06 Cantabria;2015M05;4,06
Total Nacional;06 Cantabria;2015M04;5,04
Total Nacional;06 Cantabria;2015M03;2,05
Total Nacional;06 Cantabria;2015M02;1,58
Total Nacional;06 Cantabria;2015M01;2,04
Total Nacional;06 Cantabria;2014M12;2,69
Total Nacional;06 Cantabria;2014M11;1,93
Total Nacional;06 Cantabria;2014M10;2,75
Total Nacional;06 Cantabria;2014M09;4,02
Total Nacional;06 Cantabria;2014M08;5,32
Total Nacional;06 Cantabria;2014M07;5,05
Total Nacional;06 Cantabria;2014M06;3,29
Total Nacional;06 Cantabria;2014M05;3,8
Total Nacional;06 Cantabria;2014M04;3,94
Total Nacional;06 Cantabria;2014M03;2,5
Total Nacional;06 Cantabria;2014M02;2,03
Total Nacional;06 Cantabria;2014M01;2,67
Total Nacional;06 Cantabria;2013M12;2,28
Total Nacional;06 Cantabria;2013M11;2,64
Total Nacional;06 Cantabria;2013M10;2,62
Total Nacional;06 Cantabria;2013M09;3,64
Total Nacional;06 Cantabria;2013M08;5,2
Total Nacional;06 Cantabria;2013M07;4,46
Total Nacional;06 Cantabria;2013M06;3,15
Total Nacional;06 Cantabria;2013M05;2,6
Total Nacional;06 Cantabria;2013M04;3,19
Total Nacional;06 Cantabria;2013M03;3,02
Total Nacional;06 Cantabria;2013M02;1,67
Total Nacional;06 Cantabria;2013M01;2,62
Total Nacional;06 Cantabria;2012M12;2,45
Total Nacional;06 Cantabria;2012M11;2,08
Total Nacional;06 Cantabria;2012M10;3,12
Total Nacional;06 Cantabria;2012M09;3,51
Total Nacional;06 Cantabria;2012M08;5,55
Total Nacional;06 Cantabria;2012M07;4,69
Total Nacional;06 Cantabria;2012M06;2,99
Total Nacional;06 Cantabria;2012M05;2,9
Total Nacional;06 Cantabria;2012M04;2,99
Total Nacional;06 Cantabria;2012M03;2,06
Total Nacional;06 Cantabria;2012M02;2,26
Total Nacional;06 Cantabria;2012M01;1,61
Total Nacional;06 Cantabria;2011M12;1,99
Total Nacional;06 Cantabria;2011M11;2,19
Total Nacional;06 Cantabria;2011M10;3,82
Total Nacional;06 Cantabria;2011M09;5,01
Total Nacional;06 Cantabria;2011M08;5,34
Total Nacional;06 Cantabria;2011M07;4,8
Total Nacional;06 Cantabria;2011M06;3,41
Total Nacional;06 Cantabria;2011M05;3,45
Total Nacional;06 Cantabria;2011M04;3,22
Total Nacional;06 Cantabria;2011M03;2,22
Total Nacional;06 Cantabria;2011M02;1,45
Total Nacional;06 Cantabria;2011M01;1,48
Total Nacional;06 Cantabria;2010M12;2,52
Total Nacional;06 Cantabria;2010M11;2,36
Total Nacional;06 Cantabria;2010M10;3,16
Total Nacional;06 Cantabria;2010M09;3,81
Total Nacional;06 Cantabria;2010M08;5,16
Total Nacional;06 Cantabria;2010M07;4,37
Total Nacional;06 Cantabria;2010M06;3,14
Total Nacional;06 Cantabria;2010M05;2,74
Total Nacional;06 Cantabria;2010M04;3
Total Nacional;06 Cantabria;2010M03;2,63
Total Nacional;06 Cantabria;2010M02;1,6
Total Nacional;06 Cantabria;2010M01;1,55
Total Nacional;06 Cantabria;2009M12;2,03
Total Nacional;06 Cantabria;2009M11;1,89
Total Nacional;06 Cantabria;2009M10;3,47
Total Nacional;06 Cantabria;2009M09;3,68
Total Nacional;06 Cantabria;2009M08;5,03
Total Nacional;06 Cantabria;2009M07;4,51
Total Nacional;06 Cantabria;2009M06;2,96
Total Nacional;06 Cantabria;2009M05;2,5
Total Nacional;06 Cantabria;2009M04;3,04
Total Nacional;06 Cantabria;2009M03;2,63
Total Nacional;06 Cantabria;2009M02;2,17
Total Nacional;06 Cantabria;2009M01;2,22
Total Nacional;06 Cantabria;2008M12;2,01
Total Nacional;06 Cantabria;2008M11;2,4
Total Nacional;06 Cantabria;2008M10;2,68
Total Nacional;06 Cantabria;2008M09;3,3
Total Nacional;06 Cantabria;2008M08;5,02
Total Nacional;06 Cantabria;2008M07;4,49
Total Nacional;06 Cantabria;2008M06;2,96
Total Nacional;06 Cantabria;2008M05;2,88
Total Nacional;06 Cantabria;2008M04;3,21
Total Nacional;06 Cantabria;2008M03;3,01
Total Nacional;06 Cantabria;2008M02;1,95
Total Nacional;06 Cantabria;2008M01;2
Total Nacional;06 Cantabria;2007M12;2,54
Total Nacional;06 Cantabria;2007M11;2,63
Total Nacional;06 Cantabria;2007M10;2,45
Total Nacional;06 Cantabria;2007M09;2,94
Total Nacional;06 Cantabria;2007M08;4,79
Total Nacional;06 Cantabria;2007M07;4,55
Total Nacional;06 Cantabria;2007M06;3,38
Total Nacional;06 Cantabria;2007M05;2,79
Total Nacional;06 Cantabria;2007M04;3,43
Total Nacional;06 Cantabria;2007M03;2,31
Total Nacional;06 Cantabria;2007M02;2,51
Total Nacional;06 Cantabria;2007M01;2,02
Total Nacional;06 Cantabria;2006M12;3,06
Total Nacional;06 Cantabria;2006M11;2,57
Total Nacional;06 Cantabria;2006M10;2,38
Total Nacional;06 Cantabria;2006M09;2,81
Total Nacional;06 Cantabria;2006M08;5,16
Total Nacional;06 Cantabria;2006M07;4,34
Total Nacional;06 Cantabria;2006M06;2,95
Total Nacional;06 Cantabria;2006M05;2,49
Total Nacional;06 Cantabria;2006M04;3,41
Total Nacional;06 Cantabria;2006M03;2,69
Total Nacional;06 Cantabria;2006M02;2,49
Total Nacional;06 Cantabria;2006M01;4,05
Total Nacional;06 Cantabria;2005M12;3,48
Total Nacional;06 Cantabria;2005M11;2,36
Total Nacional;06 Cantabria;2005M10;2,13
Total Nacional;06 Cantabria;2005M09;2,96
Total Nacional;06 Cantabria;2005M08;4,85
Total Nacional;06 Cantabria;2005M07;4,36
Total Nacional;06 Cantabria;2005M06;2,76
Total Nacional;06 Cantabria;2005M05;2,43
Total Nacional;06 Cantabria;2005M04;2,27
Total Nacional;06 Cantabria;2005M03;4,14
Total Nacional;06 Cantabria;2005M02;3,2
Total Nacional;06 Cantabria;2005M01;2,4
Total Nacional;06 Cantabria;2004M12;2,51
Total Nacional;06 Cantabria;2004M11;1,85
Total Nacional;06 Cantabria;2004M10;2,34
Total Nacional;06 Cantabria;2004M09;3,33
Total Nacional;06 Cantabria;2004M08;4,15
Total Nacional;06 Cantabria;2004M07;4,1
Total Nacional;06 Cantabria;2004M06;3,04
Total Nacional;06 Cantabria;2004M05;2,31
Total Nacional;06 Cantabria;2004M04;3,2
Total Nacional;06 Cantabria;2004M03;1,89
Total Nacional;06 Cantabria;2004M02;1,62
Total Nacional;06 Cantabria;2004M01;1,8
Total Nacional;06 Cantabria;2003M12;2,08
Total Nacional;06 Cantabria;2003M11;2,62
Total Nacional;06 Cantabria;2003M10;2,25
Total Nacional;06 Cantabria;2003M09;3,51
Total Nacional;06 Cantabria;2003M08;4,94
Total Nacional;06 Cantabria;2003M07;4,35
Total Nacional;06 Cantabria;2003M06;3,05
