Totales Territoriales;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;;2009M08;5,35
Total Nacional;;2009M07;4,9
Total Nacional;;2009M06;4,07
Total Nacional;;2009M05;3,93
Total Nacional;;2009M04;3,8
Total Nacional;;2009M03;5,23
Total Nacional;;2009M02;7,26
Total Nacional;;2009M01;8,57
Total Nacional;;2008M12;6,82
Total Nacional;;2008M11;6,06
Total Nacional;;2008M10;4,96
Total Nacional;;2008M09;4,62
Total Nacional;;2008M08;5,26
Total Nacional;;2008M07;5,12
Total Nacional;;2008M06;3,96
Total Nacional;;2008M05;4,14
Total Nacional;;2008M04;4,04
Total Nacional;;2008M03;4,66
Total Nacional;;2008M02;6,63
Total Nacional;;2008M01;8,16
Total Nacional;;2007M12;6,59
Total Nacional;;2007M11;5,38
Total Nacional;;2007M10;4,6
Total Nacional;;2007M09;4,44
Total Nacional;;2007M08;5,33
Total Nacional;;2007M07;5,01
Total Nacional;;2007M06;3,8
Total Nacional;;2007M05;4,01
Total Nacional;;2007M04;3,86
Total Nacional;;2007M03;4,71
Total Nacional;;2007M02;7
Total Nacional;;2007M01;8,28
Total Nacional;;2006M12;5,86
Total Nacional;;2006M11;5,6
Total Nacional;;2006M10;4,6
Total Nacional;;2006M09;4,41
Total Nacional;;2006M08;5,52
Total Nacional;;2006M07;4,83
Total Nacional;;2006M06;3,82
Total Nacional;;2006M05;3,92
Total Nacional;;2006M04;3,62
Total Nacional;;2006M03;5
Total Nacional;;2006M02;6,79
Total Nacional;;2006M01;8,16
Total Nacional;;2005M12;6,9
Total Nacional;;2005M11;5,91
Total Nacional;;2005M10;4,39
Total Nacional;;2005M09;4,38
Total Nacional;;2005M08;5,23
Total Nacional;;2005M07;4,78
Total Nacional;;2005M06;3,85
Total Nacional;;2005M05;3,66
Total Nacional;;2005M04;3,41
Total Nacional;;2005M03;4,64
Total Nacional;;2005M02;7,3
Total Nacional;;2005M01;7,88
Total Nacional;;2004M12;6,82
Total Nacional;;2004M11;5,56
Total Nacional;;2004M10;4,11
Total Nacional;;2004M09;4,06
Total Nacional;;2004M08;4,95
Total Nacional;;2004M07;4,67
Total Nacional;;2004M06;3,64
Total Nacional;;2004M05;3,46
Total Nacional;;2004M04;3,56
Total Nacional;;2004M03;5,3
Total Nacional;;2004M02;6,88
Total Nacional;;2004M01;6,96
Total Nacional;;2003M12;6,53
Total Nacional;;2003M11;5,59
Total Nacional;;2003M10;4,34
Total Nacional;;2003M09;4,01
Total Nacional;;2003M08;4,78
Total Nacional;;2003M07;4,56
Total Nacional;;2003M06;3,52
Total Nacional;;2003M05;3,34
Total Nacional;;2003M04;3,48
Total Nacional;;2003M03;5,17
Total Nacional;;2003M02;6,48
Total Nacional;;2003M01;7,09
Total Nacional;;2002M12;6,72
Total Nacional;;2002M11;5,55
Total Nacional;;2002M10;4,15
Total Nacional;;2002M09;4,88
Total Nacional;;2002M08;6,21
Total Nacional;;2002M07;5,31
Total Nacional;;2002M06;3,73
Total Nacional;;2002M05;3,64
Total Nacional;;2002M04;3,72
Total Nacional;;2002M03;4,55
Total Nacional;;2002M02;7,1
Total Nacional;;2002M01;8,51
Total Nacional;;2001M12;7,23
Total Nacional;;2001M11;6,24
Total Nacional;;2001M10;4,42
Total Nacional;;2001M09;4,69
Total Nacional;;2001M08;5,86
Total Nacional;;2001M07;5,16
Total Nacional;;2001M06;3,71
Total Nacional;;2001M05;3,69
Total Nacional;;2001M04;3,6
Total Nacional;;2001M03;5,01
Total Nacional;;2001M02;7,03
Total Nacional;;2001M01;8,24
Total Nacional;;2000M12;6
Total Nacional;;2000M11;6
Total Nacional;;2000M10;4
