Comunidades y Ciudades Autónomas;Concepto turístico;RESIDENCIA/ORIGEN;Periodo;Total
02 Aragón;Pernoctaciones;Residentes en España;2018M02;14.410
02 Aragón;Pernoctaciones;Residentes en España;2018M01;12.950
02 Aragón;Pernoctaciones;Residentes en España;2017M12;21.571
02 Aragón;Pernoctaciones;Residentes en España;2017M11;7.149
02 Aragón;Pernoctaciones;Residentes en España;2017M10;30.712
02 Aragón;Pernoctaciones;Residentes en España;2017M09;48.989
02 Aragón;Pernoctaciones;Residentes en España;2017M08;312.015
02 Aragón;Pernoctaciones;Residentes en España;2017M07;150.301
02 Aragón;Pernoctaciones;Residentes en España;2017M06;46.103
02 Aragón;Pernoctaciones;Residentes en España;2017M05;20.774
02 Aragón;Pernoctaciones;Residentes en España;2017M04;63.134
02 Aragón;Pernoctaciones;Residentes en España;2017M03;17.269
02 Aragón;Pernoctaciones;Residentes en España;2017M02;15.182
02 Aragón;Pernoctaciones;Residentes en España;2017M01;14.559
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2023M02;2.474
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2023M01;1.743
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2022M12;2.003
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2022M11;3.061
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2022M10;22.453
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2022M09;43.895
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2022M08;113.011
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2022M07;96.435
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2022M06;50.318
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2022M05;41.338
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2022M04;22.122
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2022M03;5.196
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2022M02;3.062
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2022M01;1.900
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2021M12;3.048
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2021M11;3.186
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2021M10;20.896
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2021M09;38.107
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2021M08;74.495
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2021M07;55.843
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2021M06;15.754
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2021M05;4.052
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2021M04;1.471
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2021M03;1.108
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2021M02;628
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2021M01;554
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2020M12;.
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2020M11;574
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2020M10;4.548
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2020M09;7.557
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2020M08;27.972
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2020M07;34.450
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2020M06;928
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2020M05;.
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2020M04;0
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2020M03;.
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2020M02;2.683
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2020M01;1.486
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2019M12;2.907
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2019M11;3.142
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2019M10;20.590
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2019M09;45.149
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2019M08;118.511
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2019M07;94.001
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2019M06;42.565
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2019M05;33.396
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2019M04;19.805
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2019M03;9.125
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2019M02;1.863
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2019M01;2.515
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2018M12;3.422
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2018M11;3.039
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2018M10;19.556
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2018M09;41.315
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2018M08;118.294
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2018M07;98.677
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2018M06;37.663
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2018M05;32.813
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2018M04;19.199
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2018M03;8.304
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2018M02;1.971
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2018M01;1.820
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2017M12;2.100
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2017M11;4.673
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2017M10;19.250
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2017M09;42.289
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2017M08;120.982
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2017M07;112.468
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2017M06;39.532
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2017M05;31.984
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2017M04;23.159
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2017M03;6.520
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2017M02;1.981
02 Aragón;Pernoctaciones;Residentes en el Extranjero;2017M01;1.747
03 Asturias, Principado de;Viajero;Total;2023M02;368
03 Asturias, Principado de;Viajero;Total;2023M01;.
03 Asturias, Principado de;Viajero;Total;2022M12;.
03 Asturias, Principado de;Viajero;Total;2022M11;802
03 Asturias, Principado de;Viajero;Total;2022M10;4.626
03 Asturias, Principado de;Viajero;Total;2022M09;25.687
03 Asturias, Principado de;Viajero;Total;2022M08;97.370
03 Asturias, Principado de;Viajero;Total;2022M07;83.530
03 Asturias, Principado de;Viajero;Total;2022M06;21.142
03 Asturias, Principado de;Viajero;Total;2022M05;10.162
03 Asturias, Principado de;Viajero;Total;2022M04;11.438
03 Asturias, Principado de;Viajero;Total;2022M03;.
03 Asturias, Principado de;Viajero;Total;2022M02;756
03 Asturias, Principado de;Viajero;Total;2022M01;.
03 Asturias, Principado de;Viajero;Total;2021M12;.
03 Asturias, Principado de;Viajero;Total;2021M11;503
03 Asturias, Principado de;Viajero;Total;2021M10;4.672
03 Asturias, Principado de;Viajero;Total;2021M09;26.674
03 Asturias, Principado de;Viajero;Total;2021M08;104.836
03 Asturias, Principado de;Viajero;Total;2021M07;63.569
03 Asturias, Principado de;Viajero;Total;2021M06;16.437
03 Asturias, Principado de;Viajero;Total;2021M05;3.643
03 Asturias, Principado de;Viajero;Total;2021M04;485
03 Asturias, Principado de;Viajero;Total;2021M03;61
03 Asturias, Principado de;Viajero;Total;2021M02;116
03 Asturias, Principado de;Viajero;Total;2021M01;.
03 Asturias, Principado de;Viajero;Total;2020M12;.
03 Asturias, Principado de;Viajero;Total;2020M11;.
03 Asturias, Principado de;Viajero;Total;2020M10;3.867
03 Asturias, Principado de;Viajero;Total;2020M09;17.583
03 Asturias, Principado de;Viajero;Total;2020M08;85.252
03 Asturias, Principado de;Viajero;Total;2020M07;60.612
03 Asturias, Principado de;Viajero;Total;2020M06;8.877
03 Asturias, Principado de;Viajero;Total;2020M05;.
03 Asturias, Principado de;Viajero;Total;2020M04;0
03 Asturias, Principado de;Viajero;Total;2020M03;371
03 Asturias, Principado de;Viajero;Total;2020M02;1.342
03 Asturias, Principado de;Viajero;Total;2020M01;477
03 Asturias, Principado de;Viajero;Total;2019M12;789
03 Asturias, Principado de;Viajero;Total;2019M11;847
03 Asturias, Principado de;Viajero;Total;2019M10;2.833
03 Asturias, Principado de;Viajero;Total;2019M09;19.818
03 Asturias, Principado de;Viajero;Total;2019M08;84.418
03 Asturias, Principado de;Viajero;Total;2019M07;53.433
03 Asturias, Principado de;Viajero;Total;2019M06;17.303
03 Asturias, Principado de;Viajero;Total;2019M05;7.568
03 Asturias, Principado de;Viajero;Total;2019M04;10.165
03 Asturias, Principado de;Viajero;Total;2019M03;1.605
03 Asturias, Principado de;Viajero;Total;2019M02;770
03 Asturias, Principado de;Viajero;Total;2019M01;314
03 Asturias, Principado de;Viajero;Total;2018M12;775
03 Asturias, Principado de;Viajero;Total;2018M11;1.695
03 Asturias, Principado de;Viajero;Total;2018M10;3.512
03 Asturias, Principado de;Viajero;Total;2018M09;20.288
03 Asturias, Principado de;Viajero;Total;2018M08;88.610
03 Asturias, Principado de;Viajero;Total;2018M07;44.723
03 Asturias, Principado de;Viajero;Total;2018M06;16.609
03 Asturias, Principado de;Viajero;Total;2018M05;6.019
03 Asturias, Principado de;Viajero;Total;2018M04;4.549
03 Asturias, Principado de;Viajero;Total;2018M03;2.219
03 Asturias, Principado de;Viajero;Total;2018M02;624
03 Asturias, Principado de;Viajero;Total;2018M01;288
03 Asturias, Principado de;Viajero;Total;2017M12;863
03 Asturias, Principado de;Viajero;Total;2017M11;933
03 Asturias, Principado de;Viajero;Total;2017M10;4.047
03 Asturias, Principado de;Viajero;Total;2017M09;16.518
03 Asturias, Principado de;Viajero;Total;2017M08;81.114
03 Asturias, Principado de;Viajero;Total;2017M07;55.807
03 Asturias, Principado de;Viajero;Total;2017M06;18.235
03 Asturias, Principado de;Viajero;Total;2017M05;7.255
03 Asturias, Principado de;Viajero;Total;2017M04;10.973
03 Asturias, Principado de;Viajero;Total;2017M03;1.903
03 Asturias, Principado de;Viajero;Total;2017M02;710
03 Asturias, Principado de;Viajero;Total;2017M01;360
03 Asturias, Principado de;Viajero;Residentes en España;2023M02;185
03 Asturias, Principado de;Viajero;Residentes en España;2023M01;.
03 Asturias, Principado de;Viajero;Residentes en España;2022M12;.
03 Asturias, Principado de;Viajero;Residentes en España;2022M11;412
03 Asturias, Principado de;Viajero;Residentes en España;2022M10;3.109
03 Asturias, Principado de;Viajero;Residentes en España;2022M09;13.121
03 Asturias, Principado de;Viajero;Residentes en España;2022M08;68.080
03 Asturias, Principado de;Viajero;Residentes en España;2022M07;56.757
03 Asturias, Principado de;Viajero;Residentes en España;2022M06;9.736
03 Asturias, Principado de;Viajero;Residentes en España;2022M05;4.435
03 Asturias, Principado de;Viajero;Residentes en España;2022M04;8.622
03 Asturias, Principado de;Viajero;Residentes en España;2022M03;.
03 Asturias, Principado de;Viajero;Residentes en España;2022M02;591
03 Asturias, Principado de;Viajero;Residentes en España;2022M01;.
03 Asturias, Principado de;Viajero;Residentes en España;2021M12;.
03 Asturias, Principado de;Viajero;Residentes en España;2021M11;261
03 Asturias, Principado de;Viajero;Residentes en España;2021M10;3.906
03 Asturias, Principado de;Viajero;Residentes en España;2021M09;18.817
03 Asturias, Principado de;Viajero;Residentes en España;2021M08;90.798
03 Asturias, Principado de;Viajero;Residentes en España;2021M07;54.958
03 Asturias, Principado de;Viajero;Residentes en España;2021M06;14.738
03 Asturias, Principado de;Viajero;Residentes en España;2021M05;3.270
03 Asturias, Principado de;Viajero;Residentes en España;2021M04;452
03 Asturias, Principado de;Viajero;Residentes en España;2021M03;45
03 Asturias, Principado de;Viajero;Residentes en España;2021M02;67
03 Asturias, Principado de;Viajero;Residentes en España;2021M01;.
03 Asturias, Principado de;Viajero;Residentes en España;2020M12;.
03 Asturias, Principado de;Viajero;Residentes en España;2020M11;.
03 Asturias, Principado de;Viajero;Residentes en España;2020M10;3.792
03 Asturias, Principado de;Viajero;Residentes en España;2020M09;16.319
03 Asturias, Principado de;Viajero;Residentes en España;2020M08;79.164
03 Asturias, Principado de;Viajero;Residentes en España;2020M07;55.731
03 Asturias, Principado de;Viajero;Residentes en España;2020M06;8.809
03 Asturias, Principado de;Viajero;Residentes en España;2020M05;.
03 Asturias, Principado de;Viajero;Residentes en España;2020M04;0
03 Asturias, Principado de;Viajero;Residentes en España;2020M03;325
03 Asturias, Principado de;Viajero;Residentes en España;2020M02;1.076
03 Asturias, Principado de;Viajero;Residentes en España;2020M01;327
03 Asturias, Principado de;Viajero;Residentes en España;2019M12;500
03 Asturias, Principado de;Viajero;Residentes en España;2019M11;559
03 Asturias, Principado de;Viajero;Residentes en España;2019M10;1.310
03 Asturias, Principado de;Viajero;Residentes en España;2019M09;11.528
03 Asturias, Principado de;Viajero;Residentes en España;2019M08;63.250
03 Asturias, Principado de;Viajero;Residentes en España;2019M07;38.614
03 Asturias, Principado de;Viajero;Residentes en España;2019M06;10.983
03 Asturias, Principado de;Viajero;Residentes en España;2019M05;3.586
03 Asturias, Principado de;Viajero;Residentes en España;2019M04;8.576
03 Asturias, Principado de;Viajero;Residentes en España;2019M03;1.077
03 Asturias, Principado de;Viajero;Residentes en España;2019M02;697
03 Asturias, Principado de;Viajero;Residentes en España;2019M01;..
03 Asturias, Principado de;Viajero;Residentes en España;2018M12;.
03 Asturias, Principado de;Viajero;Residentes en España;2018M11;.
03 Asturias, Principado de;Viajero;Residentes en España;2018M10;2.185
03 Asturias, Principado de;Viajero;Residentes en España;2018M09;12.595
03 Asturias, Principado de;Viajero;Residentes en España;2018M08;65.718
03 Asturias, Principado de;Viajero;Residentes en España;2018M07;30.685
03 Asturias, Principado de;Viajero;Residentes en España;2018M06;10.538
03 Asturias, Principado de;Viajero;Residentes en España;2018M05;2.695
03 Asturias, Principado de;Viajero;Residentes en España;2018M04;3.049
03 Asturias, Principado de;Viajero;Residentes en España;2018M03;1.616
03 Asturias, Principado de;Viajero;Residentes en España;2018M02;477
03 Asturias, Principado de;Viajero;Residentes en España;2018M01;208
03 Asturias, Principado de;Viajero;Residentes en España;2017M12;.
03 Asturias, Principado de;Viajero;Residentes en España;2017M11;.
03 Asturias, Principado de;Viajero;Residentes en España;2017M10;2.454
03 Asturias, Principado de;Viajero;Residentes en España;2017M09;9.494
03 Asturias, Principado de;Viajero;Residentes en España;2017M08;61.656
03 Asturias, Principado de;Viajero;Residentes en España;2017M07;41.244
03 Asturias, Principado de;Viajero;Residentes en España;2017M06;11.282
03 Asturias, Principado de;Viajero;Residentes en España;2017M05;3.898
03 Asturias, Principado de;Viajero;Residentes en España;2017M04;9.681
03 Asturias, Principado de;Viajero;Residentes en España;2017M03;1.326
03 Asturias, Principado de;Viajero;Residentes en España;2017M02;656
03 Asturias, Principado de;Viajero;Residentes en España;2017M01;182
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2023M02;183
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2023M01;.
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2022M12;.
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2022M11;390
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2022M10;1.517
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2022M09;12.566
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2022M08;29.291
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2022M07;26.773
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2022M06;11.407
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2022M05;5.727
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2022M04;2.817
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2022M03;.
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2022M02;165
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2022M01;.
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2021M12;.
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2021M11;242
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2021M10;766
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2021M09;7.858
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2021M08;14.038
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2021M07;8.611
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2021M06;1.699
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2021M05;373
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2021M04;33
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2021M03;16
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2021M02;49
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2021M01;.
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2020M12;.
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2020M11;.
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2020M10;75
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2020M09;1.264
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2020M08;6.089
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2020M07;4.881
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2020M06;68
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2020M05;.
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2020M04;0
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2020M03;46
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2020M02;266
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2020M01;150
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2019M12;289
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2019M11;288
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2019M10;1.523
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2019M09;8.289
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2019M08;21.168
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2019M07;14.819
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2019M06;6.320
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2019M05;3.982
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2019M04;1.589
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2019M03;528
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2019M02;73
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2019M01;..
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2018M12;.
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2018M11;.
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2018M10;1.327
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2018M09;7.693
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2018M08;22.892
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2018M07;14.038
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2018M06;6.071
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2018M05;3.324
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2018M04;1.500
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2018M03;604
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2018M02;147
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2018M01;80
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2017M12;.
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2017M11;.
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2017M10;1.593
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2017M09;7.024
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2017M08;19.458
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2017M07;14.563
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2017M06;6.953
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2017M05;3.357
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2017M04;1.292
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2017M03;577
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2017M02;54
03 Asturias, Principado de;Viajero;Residentes en el Extranjero;2017M01;178
03 Asturias, Principado de;Pernoctaciones;Total;2023M02;1.503
03 Asturias, Principado de;Pernoctaciones;Total;2023M01;.
03 Asturias, Principado de;Pernoctaciones;Total;2022M12;.
03 Asturias, Principado de;Pernoctaciones;Total;2022M11;2.560
03 Asturias, Principado de;Pernoctaciones;Total;2022M10;8.762
03 Asturias, Principado de;Pernoctaciones;Total;2022M09;98.089
03 Asturias, Principado de;Pernoctaciones;Total;2022M08;422.334
03 Asturias, Principado de;Pernoctaciones;Total;2022M07;334.197
03 Asturias, Principado de;Pernoctaciones;Total;2022M06;79.963
03 Asturias, Principado de;Pernoctaciones;Total;2022M05;23.360
03 Asturias, Principado de;Pernoctaciones;Total;2022M04;29.581
03 Asturias, Principado de;Pernoctaciones;Total;2022M03;.
03 Asturias, Principado de;Pernoctaciones;Total;2022M02;1.808
03 Asturias, Principado de;Pernoctaciones;Total;2022M01;.
03 Asturias, Principado de;Pernoctaciones;Total;2021M12;.
03 Asturias, Principado de;Pernoctaciones;Total;2021M11;1.936
03 Asturias, Principado de;Pernoctaciones;Total;2021M10;13.832
03 Asturias, Principado de;Pernoctaciones;Total;2021M09;96.589
03 Asturias, Principado de;Pernoctaciones;Total;2021M08;417.747
03 Asturias, Principado de;Pernoctaciones;Total;2021M07;254.929
03 Asturias, Principado de;Pernoctaciones;Total;2021M06;70.030
03 Asturias, Principado de;Pernoctaciones;Total;2021M05;12.651
03 Asturias, Principado de;Pernoctaciones;Total;2021M04;1.390
03 Asturias, Principado de;Pernoctaciones;Total;2021M03;545
03 Asturias, Principado de;Pernoctaciones;Total;2021M02;1.362
03 Asturias, Principado de;Pernoctaciones;Total;2021M01;.
03 Asturias, Principado de;Pernoctaciones;Total;2020M12;.
03 Asturias, Principado de;Pernoctaciones;Total;2020M11;.
03 Asturias, Principado de;Pernoctaciones;Total;2020M10;14.478
03 Asturias, Principado de;Pernoctaciones;Total;2020M09;81.794
03 Asturias, Principado de;Pernoctaciones;Total;2020M08;357.775
03 Asturias, Principado de;Pernoctaciones;Total;2020M07;235.928
03 Asturias, Principado de;Pernoctaciones;Total;2020M06;52.381
03 Asturias, Principado de;Pernoctaciones;Total;2020M05;.
03 Asturias, Principado de;Pernoctaciones;Total;2020M04;0
03 Asturias, Principado de;Pernoctaciones;Total;2020M03;1.540
03 Asturias, Principado de;Pernoctaciones;Total;2020M02;2.602
03 Asturias, Principado de;Pernoctaciones;Total;2020M01;1.603
03 Asturias, Principado de;Pernoctaciones;Total;2019M12;3.966
03 Asturias, Principado de;Pernoctaciones;Total;2019M11;3.536
03 Asturias, Principado de;Pernoctaciones;Total;2019M10;7.195
03 Asturias, Principado de;Pernoctaciones;Total;2019M09;71.889
03 Asturias, Principado de;Pernoctaciones;Total;2019M08;344.220
03 Asturias, Principado de;Pernoctaciones;Total;2019M07;218.331
03 Asturias, Principado de;Pernoctaciones;Total;2019M06;70.056
03 Asturias, Principado de;Pernoctaciones;Total;2019M05;25.428
03 Asturias, Principado de;Pernoctaciones;Total;2019M04;25.210
03 Asturias, Principado de;Pernoctaciones;Total;2019M03;3.479
03 Asturias, Principado de;Pernoctaciones;Total;2019M02;1.545
03 Asturias, Principado de;Pernoctaciones;Total;2019M01;892
03 Asturias, Principado de;Pernoctaciones;Total;2018M12;2.004
03 Asturias, Principado de;Pernoctaciones;Total;2018M11;3.500
03 Asturias, Principado de;Pernoctaciones;Total;2018M10;8.672
03 Asturias, Principado de;Pernoctaciones;Total;2018M09;88.210
03 Asturias, Principado de;Pernoctaciones;Total;2018M08;353.968
03 Asturias, Principado de;Pernoctaciones;Total;2018M07;200.416
03 Asturias, Principado de;Pernoctaciones;Total;2018M06;59.961
03 Asturias, Principado de;Pernoctaciones;Total;2018M05;22.271
03 Asturias, Principado de;Pernoctaciones;Total;2018M04;10.511
03 Asturias, Principado de;Pernoctaciones;Total;2018M03;5.619
03 Asturias, Principado de;Pernoctaciones;Total;2018M02;1.181
03 Asturias, Principado de;Pernoctaciones;Total;2018M01;710
03 Asturias, Principado de;Pernoctaciones;Total;2017M12;2.027
03 Asturias, Principado de;Pernoctaciones;Total;2017M11;2.579
03 Asturias, Principado de;Pernoctaciones;Total;2017M10;8.887
03 Asturias, Principado de;Pernoctaciones;Total;2017M09;69.135
03 Asturias, Principado de;Pernoctaciones;Total;2017M08;343.004
03 Asturias, Principado de;Pernoctaciones;Total;2017M07;234.471
03 Asturias, Principado de;Pernoctaciones;Total;2017M06;64.274
03 Asturias, Principado de;Pernoctaciones;Total;2017M05;25.102
03 Asturias, Principado de;Pernoctaciones;Total;2017M04;28.492
03 Asturias, Principado de;Pernoctaciones;Total;2017M03;3.645
03 Asturias, Principado de;Pernoctaciones;Total;2017M02;1.668
03 Asturias, Principado de;Pernoctaciones;Total;2017M01;578
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2023M02;1.035
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2023M01;.
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2022M12;.
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2022M11;1.743
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2022M10;6.283
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2022M09;69.959
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2022M08;346.856
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2022M07;269.813
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2022M06;57.941
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2022M05;13.519
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2022M04;25.031
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2022M03;.
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2022M02;1.511
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2022M01;.
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2021M12;.
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2021M11;1.474
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2021M10;12.492
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2021M09;81.316
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2021M08;382.321
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2021M07;233.292
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2021M06;65.986
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2021M05;12.028
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2021M04;1.308
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2021M03;485
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2021M02;1.301
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2021M01;.
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2020M12;.
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2020M11;.
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2020M10;14.358
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2020M09;79.103
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2020M08;341.176
03 Asturias, Principado de;Pernoctaciones;Residentes en España;2020M07;222.893
