Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Total Nacional;Viajero;Residentes en España;2021M08;550.263
Total Nacional;Viajero;Residentes en España;2021M07;444.624
Total Nacional;Viajero;Residentes en España;2021M06;273.018
Total Nacional;Viajero;Residentes en España;2021M05;168.571
Total Nacional;Viajero;Residentes en España;2021M04;115.622
Total Nacional;Viajero;Residentes en España;2021M03;92.575
Total Nacional;Viajero;Residentes en España;2021M02;31.942
Total Nacional;Viajero;Residentes en España;2021M01;30.598
Total Nacional;Viajero;Residentes en España;2020M12;80.114
Total Nacional;Viajero;Residentes en España;2020M11;.
Total Nacional;Viajero;Residentes en España;2020M10;151.171
Total Nacional;Viajero;Residentes en España;2020M09;241.882
Total Nacional;Viajero;Residentes en España;2020M08;493.393
Total Nacional;Viajero;Residentes en España;2020M07;387.241
Total Nacional;Viajero;Residentes en España;2020M06;113.624
Total Nacional;Viajero;Residentes en España;2020M05;.
Total Nacional;Viajero;Residentes en España;2020M04;.
Total Nacional;Viajero;Residentes en España;2020M03;45.841
Total Nacional;Viajero;Residentes en España;2020M02;200.636
Total Nacional;Viajero;Residentes en España;2020M01;140.927
Total Nacional;Viajero;Residentes en España;2019M12;313.967
Total Nacional;Viajero;Residentes en España;2019M11;271.157
Total Nacional;Viajero;Residentes en España;2019M10;291.487
Total Nacional;Viajero;Residentes en España;2019M09;296.409
Total Nacional;Viajero;Residentes en España;2019M08;513.135
Total Nacional;Viajero;Residentes en España;2019M07;390.209
Total Nacional;Viajero;Residentes en España;2019M06;334.150
Total Nacional;Viajero;Residentes en España;2019M05;271.622
Total Nacional;Viajero;Residentes en España;2019M04;309.069
Total Nacional;Viajero;Residentes en España;2019M03;249.268
Total Nacional;Viajero;Residentes en España;2019M02;172.002
Total Nacional;Viajero;Residentes en España;2019M01;121.099
Total Nacional;Viajero;Residentes en España;2018M12;309.788
Total Nacional;Viajero;Residentes en España;2018M11;254.291
Total Nacional;Viajero;Residentes en España;2018M10;295.083
Total Nacional;Viajero;Residentes en España;2018M09;309.483
Total Nacional;Viajero;Residentes en España;2018M08;478.559
Total Nacional;Viajero;Residentes en España;2018M07;355.468
Total Nacional;Viajero;Residentes en España;2018M06;308.092
Total Nacional;Viajero;Residentes en España;2018M05;238.474
Total Nacional;Viajero;Residentes en España;2018M04;272.291
Total Nacional;Viajero;Residentes en España;2018M03;286.691
Total Nacional;Viajero;Residentes en España;2018M02;165.555
Total Nacional;Viajero;Residentes en España;2018M01;122.354
Total Nacional;Viajero;Residentes en España;2017M12;308.404
Total Nacional;Viajero;Residentes en España;2017M11;200.857
Total Nacional;Viajero;Residentes en España;2017M10;275.768
Total Nacional;Viajero;Residentes en España;2017M09;295.266
Total Nacional;Viajero;Residentes en España;2017M08;454.211
Total Nacional;Viajero;Residentes en España;2017M07;374.218
Total Nacional;Viajero;Residentes en España;2017M06;286.697
Total Nacional;Viajero;Residentes en España;2017M05;226.050
Total Nacional;Viajero;Residentes en España;2017M04;347.184
Total Nacional;Viajero;Residentes en España;2017M03;210.366
Total Nacional;Viajero;Residentes en España;2017M02;168.635
Total Nacional;Viajero;Residentes en España;2017M01;117.588
Total Nacional;Viajero;Residentes en el Extranjero;2023M11;35.028
Total Nacional;Viajero;Residentes en el Extranjero;2023M10;101.803
Total Nacional;Viajero;Residentes en el Extranjero;2023M09;142.191
Total Nacional;Viajero;Residentes en el Extranjero;2023M08;153.195
Total Nacional;Viajero;Residentes en el Extranjero;2023M07;148.494
Total Nacional;Viajero;Residentes en el Extranjero;2023M06;115.760
Total Nacional;Viajero;Residentes en el Extranjero;2023M05;115.264
Total Nacional;Viajero;Residentes en el Extranjero;2023M04;98.570
Total Nacional;Viajero;Residentes en el Extranjero;2023M03;48.226
Total Nacional;Viajero;Residentes en el Extranjero;2023M02;30.883
Total Nacional;Viajero;Residentes en el Extranjero;2023M01;23.382
Total Nacional;Viajero;Residentes en el Extranjero;2022M12;27.204
Total Nacional;Viajero;Residentes en el Extranjero;2022M11;30.634
Total Nacional;Viajero;Residentes en el Extranjero;2022M10;83.632
Total Nacional;Viajero;Residentes en el Extranjero;2022M09;114.187
Total Nacional;Viajero;Residentes en el Extranjero;2022M08;136.319
Total Nacional;Viajero;Residentes en el Extranjero;2022M07;126.952
Total Nacional;Viajero;Residentes en el Extranjero;2022M06;101.845
Total Nacional;Viajero;Residentes en el Extranjero;2022M05;95.909
Total Nacional;Viajero;Residentes en el Extranjero;2022M04;72.193
Total Nacional;Viajero;Residentes en el Extranjero;2022M03;35.186
Total Nacional;Viajero;Residentes en el Extranjero;2022M02;23.776
Total Nacional;Viajero;Residentes en el Extranjero;2022M01;16.109
Total Nacional;Viajero;Residentes en el Extranjero;2021M12;20.726
Total Nacional;Viajero;Residentes en el Extranjero;2021M11;26.315
Total Nacional;Viajero;Residentes en el Extranjero;2021M10;71.771
Total Nacional;Viajero;Residentes en el Extranjero;2021M09;85.916
Total Nacional;Viajero;Residentes en el Extranjero;2021M08;90.213
Total Nacional;Viajero;Residentes en el Extranjero;2021M07;80.383
Total Nacional;Viajero;Residentes en el Extranjero;2021M06;45.012
Total Nacional;Viajero;Residentes en el Extranjero;2021M05;30.800
Total Nacional;Viajero;Residentes en el Extranjero;2021M04;11.842
Total Nacional;Viajero;Residentes en el Extranjero;2021M03;6.787
Total Nacional;Viajero;Residentes en el Extranjero;2021M02;2.412
Total Nacional;Viajero;Residentes en el Extranjero;2021M01;2.715
Total Nacional;Viajero;Residentes en el Extranjero;2020M12;5.573
Total Nacional;Viajero;Residentes en el Extranjero;2020M11;.
Total Nacional;Viajero;Residentes en el Extranjero;2020M10;11.515
Total Nacional;Viajero;Residentes en el Extranjero;2020M09;18.043
Total Nacional;Viajero;Residentes en el Extranjero;2020M08;42.449
Total Nacional;Viajero;Residentes en el Extranjero;2020M07;41.754
Total Nacional;Viajero;Residentes en el Extranjero;2020M06;2.874
Total Nacional;Viajero;Residentes en el Extranjero;2020M05;.
Total Nacional;Viajero;Residentes en el Extranjero;2020M04;.
Total Nacional;Viajero;Residentes en el Extranjero;2020M03;10.491
Total Nacional;Viajero;Residentes en el Extranjero;2020M02;26.194
