Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Residencia;Periodo;Total
04 Balears, Illes;Viajero;Residentes en el Extranjero;2019M11;5.486
04 Balears, Illes;Viajero;Residentes en el Extranjero;2019M10;27.938
04 Balears, Illes;Viajero;Residentes en el Extranjero;2019M09;42.039
04 Balears, Illes;Viajero;Residentes en el Extranjero;2019M08;42.956
04 Balears, Illes;Viajero;Residentes en el Extranjero;2019M07;38.436
04 Balears, Illes;Viajero;Residentes en el Extranjero;2019M06;35.663
04 Balears, Illes;Viajero;Residentes en el Extranjero;2019M05;29.911
04 Balears, Illes;Viajero;Residentes en el Extranjero;2019M04;23.066
04 Balears, Illes;Viajero;Residentes en el Extranjero;2019M03;12.119
04 Balears, Illes;Viajero;Residentes en el Extranjero;2019M02;5.366
04 Balears, Illes;Viajero;Residentes en el Extranjero;2019M01;3.123
04 Balears, Illes;Viajero;Residentes en el Extranjero;2018M12;4.268
04 Balears, Illes;Viajero;Residentes en el Extranjero;2018M11;5.349
04 Balears, Illes;Viajero;Residentes en el Extranjero;2018M10;28.750
04 Balears, Illes;Viajero;Residentes en el Extranjero;2018M09;41.262
04 Balears, Illes;Viajero;Residentes en el Extranjero;2018M08;41.394
04 Balears, Illes;Viajero;Residentes en el Extranjero;2018M07;40.732
04 Balears, Illes;Viajero;Residentes en el Extranjero;2018M06;38.095
04 Balears, Illes;Viajero;Residentes en el Extranjero;2018M05;34.937
04 Balears, Illes;Viajero;Residentes en el Extranjero;2018M04;25.035
04 Balears, Illes;Viajero;Residentes en el Extranjero;2018M03;12.526
04 Balears, Illes;Viajero;Residentes en el Extranjero;2018M02;5.550
04 Balears, Illes;Viajero;Residentes en el Extranjero;2018M01;2.329
04 Balears, Illes;Viajero;Residentes en el Extranjero;2017M12;3.540
04 Balears, Illes;Viajero;Residentes en el Extranjero;2017M11;4.791
04 Balears, Illes;Viajero;Residentes en el Extranjero;2017M10;25.560
04 Balears, Illes;Viajero;Residentes en el Extranjero;2017M09;34.850
04 Balears, Illes;Viajero;Residentes en el Extranjero;2017M08;33.545
04 Balears, Illes;Viajero;Residentes en el Extranjero;2017M07;31.687
04 Balears, Illes;Viajero;Residentes en el Extranjero;2017M06;30.373
04 Balears, Illes;Viajero;Residentes en el Extranjero;2017M05;26.576
04 Balears, Illes;Viajero;Residentes en el Extranjero;2017M04;18.967
04 Balears, Illes;Viajero;Residentes en el Extranjero;2017M03;8.992
04 Balears, Illes;Viajero;Residentes en el Extranjero;2017M02;4.610
04 Balears, Illes;Viajero;Residentes en el Extranjero;2017M01;1.952
04 Balears, Illes;Pernoctaciones;Total;2023M11;27.547
04 Balears, Illes;Pernoctaciones;Total;2023M10;150.962
04 Balears, Illes;Pernoctaciones;Total;2023M09;220.869
04 Balears, Illes;Pernoctaciones;Total;2023M08;252.364
04 Balears, Illes;Pernoctaciones;Total;2023M07;225.909
04 Balears, Illes;Pernoctaciones;Total;2023M06;200.209
04 Balears, Illes;Pernoctaciones;Total;2023M05;171.992
04 Balears, Illes;Pernoctaciones;Total;2023M04;126.484
04 Balears, Illes;Pernoctaciones;Total;2023M03;60.402
04 Balears, Illes;Pernoctaciones;Total;2023M02;32.117
04 Balears, Illes;Pernoctaciones;Total;2023M01;23.746
04 Balears, Illes;Pernoctaciones;Total;2022M12;26.064
04 Balears, Illes;Pernoctaciones;Total;2022M11;27.839
04 Balears, Illes;Pernoctaciones;Total;2022M10;129.179
04 Balears, Illes;Pernoctaciones;Total;2022M09;205.205
04 Balears, Illes;Pernoctaciones;Total;2022M08;233.942
04 Balears, Illes;Pernoctaciones;Total;2022M07;225.861
04 Balears, Illes;Pernoctaciones;Total;2022M06;202.335
04 Balears, Illes;Pernoctaciones;Total;2022M05;154.634
04 Balears, Illes;Pernoctaciones;Total;2022M04;115.737
04 Balears, Illes;Pernoctaciones;Total;2022M03;40.475
04 Balears, Illes;Pernoctaciones;Total;2022M02;25.619
04 Balears, Illes;Pernoctaciones;Total;2022M01;15.133
04 Balears, Illes;Pernoctaciones;Total;2021M12;17.615
04 Balears, Illes;Pernoctaciones;Total;2021M11;24.265
04 Balears, Illes;Pernoctaciones;Total;2021M10;129.566
04 Balears, Illes;Pernoctaciones;Total;2021M09;170.500
04 Balears, Illes;Pernoctaciones;Total;2021M08;205.690
04 Balears, Illes;Pernoctaciones;Total;2021M07;182.230
04 Balears, Illes;Pernoctaciones;Total;2021M06;123.010
04 Balears, Illes;Pernoctaciones;Total;2021M05;87.677
04 Balears, Illes;Pernoctaciones;Total;2021M04;32.653
04 Balears, Illes;Pernoctaciones;Total;2021M03;15.380
04 Balears, Illes;Pernoctaciones;Total;2021M02;6.207
04 Balears, Illes;Pernoctaciones;Total;2021M01;5.123
04 Balears, Illes;Pernoctaciones;Total;2020M12;7.853
04 Balears, Illes;Pernoctaciones;Total;2020M11;8.594
04 Balears, Illes;Pernoctaciones;Total;2020M10;19.676
04 Balears, Illes;Pernoctaciones;Total;2020M09;31.221
04 Balears, Illes;Pernoctaciones;Total;2020M08;100.927
04 Balears, Illes;Pernoctaciones;Total;2020M07;81.599
04 Balears, Illes;Pernoctaciones;Total;2020M06;3.877
04 Balears, Illes;Pernoctaciones;Total;2020M05;732
04 Balears, Illes;Pernoctaciones;Total;2020M04;.
04 Balears, Illes;Pernoctaciones;Total;2020M03;13.141
04 Balears, Illes;Pernoctaciones;Total;2020M02;24.539
04 Balears, Illes;Pernoctaciones;Total;2020M01;16.214
04 Balears, Illes;Pernoctaciones;Total;2019M12;25.652
04 Balears, Illes;Pernoctaciones;Total;2019M11;27.913
04 Balears, Illes;Pernoctaciones;Total;2019M10;113.643
04 Balears, Illes;Pernoctaciones;Total;2019M09;186.367
04 Balears, Illes;Pernoctaciones;Total;2019M08;214.975
04 Balears, Illes;Pernoctaciones;Total;2019M07;195.635
04 Balears, Illes;Pernoctaciones;Total;2019M06;170.778
04 Balears, Illes;Pernoctaciones;Total;2019M05;131.220
04 Balears, Illes;Pernoctaciones;Total;2019M04;99.013
04 Balears, Illes;Pernoctaciones;Total;2019M03;50.674
04 Balears, Illes;Pernoctaciones;Total;2019M02;22.010
04 Balears, Illes;Pernoctaciones;Total;2019M01;13.866
04 Balears, Illes;Pernoctaciones;Total;2018M12;18.478
04 Balears, Illes;Pernoctaciones;Total;2018M11;21.224
04 Balears, Illes;Pernoctaciones;Total;2018M10;117.140
04 Balears, Illes;Pernoctaciones;Total;2018M09;178.408
04 Balears, Illes;Pernoctaciones;Total;2018M08;209.737
04 Balears, Illes;Pernoctaciones;Total;2018M07;187.950
04 Balears, Illes;Pernoctaciones;Total;2018M06;163.116
04 Balears, Illes;Pernoctaciones;Total;2018M05;137.126
04 Balears, Illes;Pernoctaciones;Total;2018M04;94.337
04 Balears, Illes;Pernoctaciones;Total;2018M03;54.984
04 Balears, Illes;Pernoctaciones;Total;2018M02;26.347
04 Balears, Illes;Pernoctaciones;Total;2018M01;12.849
04 Balears, Illes;Pernoctaciones;Total;2017M12;16.321
04 Balears, Illes;Pernoctaciones;Total;2017M11;21.310
04 Balears, Illes;Pernoctaciones;Total;2017M10;110.676
04 Balears, Illes;Pernoctaciones;Total;2017M09;159.114
04 Balears, Illes;Pernoctaciones;Total;2017M08;184.495
04 Balears, Illes;Pernoctaciones;Total;2017M07;158.148
04 Balears, Illes;Pernoctaciones;Total;2017M06;140.612
04 Balears, Illes;Pernoctaciones;Total;2017M05;113.477
04 Balears, Illes;Pernoctaciones;Total;2017M04;82.336
04 Balears, Illes;Pernoctaciones;Total;2017M03;38.976
04 Balears, Illes;Pernoctaciones;Total;2017M02;21.800
04 Balears, Illes;Pernoctaciones;Total;2017M01;10.472
04 Balears, Illes;Pernoctaciones;Residentes en España;2023M11;9.868
04 Balears, Illes;Pernoctaciones;Residentes en España;2023M10;15.399
04 Balears, Illes;Pernoctaciones;Residentes en España;2023M09;19.488
04 Balears, Illes;Pernoctaciones;Residentes en España;2023M08;36.109
04 Balears, Illes;Pernoctaciones;Residentes en España;2023M07;30.033
04 Balears, Illes;Pernoctaciones;Residentes en España;2023M06;22.043
04 Balears, Illes;Pernoctaciones;Residentes en España;2023M05;17.098
04 Balears, Illes;Pernoctaciones;Residentes en España;2023M04;15.161
04 Balears, Illes;Pernoctaciones;Residentes en España;2023M03;9.114
04 Balears, Illes;Pernoctaciones;Residentes en España;2023M02;9.836
04 Balears, Illes;Pernoctaciones;Residentes en España;2023M01;8.576
04 Balears, Illes;Pernoctaciones;Residentes en España;2022M12;10.167
04 Balears, Illes;Pernoctaciones;Residentes en España;2022M11;9.708
04 Balears, Illes;Pernoctaciones;Residentes en España;2022M10;13.201
04 Balears, Illes;Pernoctaciones;Residentes en España;2022M09;23.459
04 Balears, Illes;Pernoctaciones;Residentes en España;2022M08;42.081
04 Balears, Illes;Pernoctaciones;Residentes en España;2022M07;32.771
04 Balears, Illes;Pernoctaciones;Residentes en España;2022M06;27.606
04 Balears, Illes;Pernoctaciones;Residentes en España;2022M05;14.972
04 Balears, Illes;Pernoctaciones;Residentes en España;2022M04;12.140
04 Balears, Illes;Pernoctaciones;Residentes en España;2022M03;5.835
04 Balears, Illes;Pernoctaciones;Residentes en España;2022M02;8.894
04 Balears, Illes;Pernoctaciones;Residentes en España;2022M01;6.387
04 Balears, Illes;Pernoctaciones;Residentes en España;2021M12;7.617
04 Balears, Illes;Pernoctaciones;Residentes en España;2021M11;9.499
04 Balears, Illes;Pernoctaciones;Residentes en España;2021M10;12.982
04 Balears, Illes;Pernoctaciones;Residentes en España;2021M09;21.766
04 Balears, Illes;Pernoctaciones;Residentes en España;2021M08;45.850
04 Balears, Illes;Pernoctaciones;Residentes en España;2021M07;32.477
04 Balears, Illes;Pernoctaciones;Residentes en España;2021M06;19.288
04 Balears, Illes;Pernoctaciones;Residentes en España;2021M05;10.363
04 Balears, Illes;Pernoctaciones;Residentes en España;2021M04;8.371
04 Balears, Illes;Pernoctaciones;Residentes en España;2021M03;5.610
04 Balears, Illes;Pernoctaciones;Residentes en España;2021M02;3.204
04 Balears, Illes;Pernoctaciones;Residentes en España;2021M01;2.516
04 Balears, Illes;Pernoctaciones;Residentes en España;2020M12;4.794
04 Balears, Illes;Pernoctaciones;Residentes en España;2020M11;.
04 Balears, Illes;Pernoctaciones;Residentes en España;2020M10;9.278
04 Balears, Illes;Pernoctaciones;Residentes en España;2020M09;17.724
04 Balears, Illes;Pernoctaciones;Residentes en España;2020M08;43.441
04 Balears, Illes;Pernoctaciones;Residentes en España;2020M07;22.187
04 Balears, Illes;Pernoctaciones;Residentes en España;2020M06;2.972
04 Balears, Illes;Pernoctaciones;Residentes en España;2020M05;.
04 Balears, Illes;Pernoctaciones;Residentes en España;2020M04;.
04 Balears, Illes;Pernoctaciones;Residentes en España;2020M03;1.970
04 Balears, Illes;Pernoctaciones;Residentes en España;2020M02;6.000
04 Balears, Illes;Pernoctaciones;Residentes en España;2020M01;4.626
04 Balears, Illes;Pernoctaciones;Residentes en España;2019M12;7.624
04 Balears, Illes;Pernoctaciones;Residentes en España;2019M11;6.726
04 Balears, Illes;Pernoctaciones;Residentes en España;2019M10;11.092
04 Balears, Illes;Pernoctaciones;Residentes en España;2019M09;20.149
04 Balears, Illes;Pernoctaciones;Residentes en España;2019M08;32.248
04 Balears, Illes;Pernoctaciones;Residentes en España;2019M07;24.046
04 Balears, Illes;Pernoctaciones;Residentes en España;2019M06;22.073
04 Balears, Illes;Pernoctaciones;Residentes en España;2019M05;13.283
04 Balears, Illes;Pernoctaciones;Residentes en España;2019M04;9.141
04 Balears, Illes;Pernoctaciones;Residentes en España;2019M03;7.282
04 Balears, Illes;Pernoctaciones;Residentes en España;2019M02;4.766
04 Balears, Illes;Pernoctaciones;Residentes en España;2019M01;4.089
04 Balears, Illes;Pernoctaciones;Residentes en España;2018M12;5.473
04 Balears, Illes;Pernoctaciones;Residentes en España;2018M11;5.294
04 Balears, Illes;Pernoctaciones;Residentes en España;2018M10;10.575
04 Balears, Illes;Pernoctaciones;Residentes en España;2018M09;16.947
04 Balears, Illes;Pernoctaciones;Residentes en España;2018M08;31.678
04 Balears, Illes;Pernoctaciones;Residentes en España;2018M07;23.143
04 Balears, Illes;Pernoctaciones;Residentes en España;2018M06;17.928
04 Balears, Illes;Pernoctaciones;Residentes en España;2018M05;10.593
04 Balears, Illes;Pernoctaciones;Residentes en España;2018M04;8.658
04 Balears, Illes;Pernoctaciones;Residentes en España;2018M03;6.967
04 Balears, Illes;Pernoctaciones;Residentes en España;2018M02;4.994
04 Balears, Illes;Pernoctaciones;Residentes en España;2018M01;3.684
04 Balears, Illes;Pernoctaciones;Residentes en España;2017M12;4.207
04 Balears, Illes;Pernoctaciones;Residentes en España;2017M11;4.109
04 Balears, Illes;Pernoctaciones;Residentes en España;2017M10;9.505
04 Balears, Illes;Pernoctaciones;Residentes en España;2017M09;15.570
04 Balears, Illes;Pernoctaciones;Residentes en España;2017M08;27.624
04 Balears, Illes;Pernoctaciones;Residentes en España;2017M07;20.909
04 Balears, Illes;Pernoctaciones;Residentes en España;2017M06;13.863
04 Balears, Illes;Pernoctaciones;Residentes en España;2017M05;9.884
04 Balears, Illes;Pernoctaciones;Residentes en España;2017M04;9.051
04 Balears, Illes;Pernoctaciones;Residentes en España;2017M03;4.057
04 Balears, Illes;Pernoctaciones;Residentes en España;2017M02;2.680
04 Balears, Illes;Pernoctaciones;Residentes en España;2017M01;2.270
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2023M11;17.680
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2023M10;135.563
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2023M09;201.380
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2023M08;216.255
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2023M07;195.876
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2023M06;178.166
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2023M05;154.894
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2023M04;111.323
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2023M03;51.288
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2023M02;22.281
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2023M01;15.170
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2022M12;15.897
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2022M11;18.130
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2022M10;115.978
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2022M09;181.746
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2022M08;191.860
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2022M07;193.090
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2022M06;174.729
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2022M05;139.662
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2022M04;103.597
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2022M03;34.640
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2022M02;16.726
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2022M01;8.746
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2021M12;9.998
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2021M11;14.767
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2021M10;116.583
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2021M09;148.734
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2021M08;159.840
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2021M07;149.753
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2021M06;103.722
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2021M05;77.313
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2021M04;24.281
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2021M03;9.771
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2021M02;3.003
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2021M01;2.607
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2020M12;3.058
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2020M11;.
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2020M10;10.398
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2020M09;13.496
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2020M08;57.486
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2020M07;59.412
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2020M06;905
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2020M05;.
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2020M04;.
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2020M03;11.171
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2020M02;18.538
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2020M01;11.588
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2019M12;18.028
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2019M11;21.187
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2019M10;102.551
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2019M09;166.218
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2019M08;182.727
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2019M07;171.589
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2019M06;148.704
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2019M05;117.937
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2019M04;89.872
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2019M03;43.392
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2019M02;17.244
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2019M01;9.778
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2018M12;13.005
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2018M11;15.930
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2018M10;106.564
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2018M09;161.462
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2018M08;178.059
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2018M07;164.807
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2018M06;145.189
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2018M05;126.533
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2018M04;85.679
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2018M03;48.017
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2018M02;21.354
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2018M01;9.164
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2017M12;12.114
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2017M11;17.201
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2017M10;101.170
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2017M09;143.544
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2017M08;156.871
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2017M07;137.239
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2017M06;126.750
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2017M05;103.593
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2017M04;73.285
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2017M03;34.919
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2017M02;19.120
04 Balears, Illes;Pernoctaciones;Residentes en el Extranjero;2017M01;8.202
05 Canarias;Viajero;Total;2023M11;8.425
05 Canarias;Viajero;Total;2023M10;6.898
05 Canarias;Viajero;Total;2023M09;6.649
05 Canarias;Viajero;Total;2023M08;7.046
05 Canarias;Viajero;Total;2023M07;5.470
05 Canarias;Viajero;Total;2023M06;3.997
05 Canarias;Viajero;Total;2023M05;5.426
05 Canarias;Viajero;Total;2023M04;6.922
05 Canarias;Viajero;Total;2023M03;7.980
05 Canarias;Viajero;Total;2023M02;8.323
05 Canarias;Viajero;Total;2023M01;8.343
05 Canarias;Viajero;Total;2022M12;8.856
05 Canarias;Viajero;Total;2022M11;7.758
05 Canarias;Viajero;Total;2022M10;7.280
05 Canarias;Viajero;Total;2022M09;6.400
05 Canarias;Viajero;Total;2022M08;8.087
05 Canarias;Viajero;Total;2022M07;6.935
05 Canarias;Viajero;Total;2022M06;5.496
05 Canarias;Viajero;Total;2022M05;5.753
05 Canarias;Viajero;Total;2022M04;7.475
05 Canarias;Viajero;Total;2022M03;8.319
05 Canarias;Viajero;Total;2022M02;8.153
05 Canarias;Viajero;Total;2022M01;7.006
05 Canarias;Viajero;Total;2021M12;7.668
05 Canarias;Viajero;Total;2021M11;7.976
05 Canarias;Viajero;Total;2021M10;7.362
05 Canarias;Viajero;Total;2021M09;5.902
05 Canarias;Viajero;Total;2021M08;7.500
05 Canarias;Viajero;Total;2021M07;6.019
05 Canarias;Viajero;Total;2021M06;3.785
05 Canarias;Viajero;Total;2021M05;3.522
05 Canarias;Viajero;Total;2021M04;3.132
05 Canarias;Viajero;Total;2021M03;3.705
05 Canarias;Viajero;Total;2021M02;2.950
05 Canarias;Viajero;Total;2021M01;2.412
05 Canarias;Viajero;Total;2020M12;4.271
05 Canarias;Viajero;Total;2020M11;2.825
05 Canarias;Viajero;Total;2020M10;3.495
05 Canarias;Viajero;Total;2020M09;3.876
05 Canarias;Viajero;Total;2020M08;5.776
05 Canarias;Viajero;Total;2020M07;4.061
05 Canarias;Viajero;Total;2020M06;1.380
05 Canarias;Viajero;Total;2020M05;152
05 Canarias;Viajero;Total;2020M04;.
05 Canarias;Viajero;Total;2020M03;3.312
05 Canarias;Viajero;Total;2020M02;8.768
05 Canarias;Viajero;Total;2020M01;8.174
05 Canarias;Viajero;Total;2019M12;7.769
05 Canarias;Viajero;Total;2019M11;7.802
05 Canarias;Viajero;Total;2019M10;6.208
05 Canarias;Viajero;Total;2019M09;5.557
05 Canarias;Viajero;Total;2019M08;6.581
05 Canarias;Viajero;Total;2019M07;5.386
05 Canarias;Viajero;Total;2019M06;4.055
05 Canarias;Viajero;Total;2019M05;5.049
05 Canarias;Viajero;Total;2019M04;6.883
05 Canarias;Viajero;Total;2019M03;8.951
05 Canarias;Viajero;Total;2019M02;8.488
05 Canarias;Viajero;Total;2019M01;8.169
05 Canarias;Viajero;Total;2018M12;8.063
05 Canarias;Viajero;Total;2018M11;7.883
05 Canarias;Viajero;Total;2018M10;7.229
05 Canarias;Viajero;Total;2018M09;6.154
05 Canarias;Viajero;Total;2018M08;7.176
05 Canarias;Viajero;Total;2018M07;5.861
05 Canarias;Viajero;Total;2018M06;4.718
05 Canarias;Viajero;Total;2018M05;4.546
05 Canarias;Viajero;Total;2018M04;6.200
05 Canarias;Viajero;Total;2018M03;8.949
05 Canarias;Viajero;Total;2018M02;8.064
05 Canarias;Viajero;Total;2018M01;8.038
05 Canarias;Viajero;Total;2017M12;8.558
05 Canarias;Viajero;Total;2017M11;8.389
05 Canarias;Viajero;Total;2017M10;7.850
05 Canarias;Viajero;Total;2017M09;6.849
05 Canarias;Viajero;Total;2017M08;7.622
05 Canarias;Viajero;Total;2017M07;6.355
05 Canarias;Viajero;Total;2017M06;4.195
05 Canarias;Viajero;Total;2017M05;5.101
05 Canarias;Viajero;Total;2017M04;7.549
05 Canarias;Viajero;Total;2017M03;8.604
05 Canarias;Viajero;Total;2017M02;8.503
05 Canarias;Viajero;Total;2017M01;8.547
05 Canarias;Viajero;Residentes en España;2023M11;2.357
05 Canarias;Viajero;Residentes en España;2023M10;3.301
05 Canarias;Viajero;Residentes en España;2023M09;4.117
05 Canarias;Viajero;Residentes en España;2023M08;5.006
05 Canarias;Viajero;Residentes en España;2023M07;3.407
05 Canarias;Viajero;Residentes en España;2023M06;2.469
05 Canarias;Viajero;Residentes en España;2023M05;2.875
05 Canarias;Viajero;Residentes en España;2023M04;3.356
05 Canarias;Viajero;Residentes en España;2023M03;2.291
05 Canarias;Viajero;Residentes en España;2023M02;2.353
05 Canarias;Viajero;Residentes en España;2023M01;2.266
05 Canarias;Viajero;Residentes en España;2022M12;3.324
05 Canarias;Viajero;Residentes en España;2022M11;2.415
05 Canarias;Viajero;Residentes en España;2022M10;3.613
05 Canarias;Viajero;Residentes en España;2022M09;3.878
05 Canarias;Viajero;Residentes en España;2022M08;5.573
05 Canarias;Viajero;Residentes en España;2022M07;4.706
05 Canarias;Viajero;Residentes en España;2022M06;3.677
05 Canarias;Viajero;Residentes en España;2022M05;3.277
05 Canarias;Viajero;Residentes en España;2022M04;3.650
05 Canarias;Viajero;Residentes en España;2022M03;2.284
05 Canarias;Viajero;Residentes en España;2022M02;2.643
05 Canarias;Viajero;Residentes en España;2022M01;2.248
05 Canarias;Viajero;Residentes en España;2021M12;3.149
05 Canarias;Viajero;Residentes en España;2021M11;2.846
05 Canarias;Viajero;Residentes en España;2021M10;3.603
05 Canarias;Viajero;Residentes en España;2021M09;3.629
05 Canarias;Viajero;Residentes en España;2021M08;5.531
05 Canarias;Viajero;Residentes en España;2021M07;4.405
05 Canarias;Viajero;Residentes en España;2021M06;2.503
05 Canarias;Viajero;Residentes en España;2021M05;2.126
05 Canarias;Viajero;Residentes en España;2021M04;2.188
05 Canarias;Viajero;Residentes en España;2021M03;2.419
05 Canarias;Viajero;Residentes en España;2021M02;1.895
05 Canarias;Viajero;Residentes en España;2021M01;1.409
05 Canarias;Viajero;Residentes en España;2020M12;2.757
05 Canarias;Viajero;Residentes en España;2020M11;.
05 Canarias;Viajero;Residentes en España;2020M10;2.875
05 Canarias;Viajero;Residentes en España;2020M09;3.340
05 Canarias;Viajero;Residentes en España;2020M08;4.967
05 Canarias;Viajero;Residentes en España;2020M07;3.598
05 Canarias;Viajero;Residentes en España;2020M06;1.347
05 Canarias;Viajero;Residentes en España;2020M05;.
05 Canarias;Viajero;Residentes en España;2020M04;.
05 Canarias;Viajero;Residentes en España;2020M03;524
05 Canarias;Viajero;Residentes en España;2020M02;2.309
05 Canarias;Viajero;Residentes en España;2020M01;2.037
05 Canarias;Viajero;Residentes en España;2019M12;2.407
05 Canarias;Viajero;Residentes en España;2019M11;2.157
05 Canarias;Viajero;Residentes en España;2019M10;2.258
05 Canarias;Viajero;Residentes en España;2019M09;2.849
05 Canarias;Viajero;Residentes en España;2019M08;4.340
05 Canarias;Viajero;Residentes en España;2019M07;3.172
05 Canarias;Viajero;Residentes en España;2019M06;2.207
05 Canarias;Viajero;Residentes en España;2019M05;2.380
05 Canarias;Viajero;Residentes en España;2019M04;2.490
05 Canarias;Viajero;Residentes en España;2019M03;2.112
05 Canarias;Viajero;Residentes en España;2019M02;1.876
05 Canarias;Viajero;Residentes en España;2019M01;2.126
05 Canarias;Viajero;Residentes en España;2018M12;2.413
05 Canarias;Viajero;Residentes en España;2018M11;2.242
05 Canarias;Viajero;Residentes en España;2018M10;2.759
05 Canarias;Viajero;Residentes en España;2018M09;3.172
05 Canarias;Viajero;Residentes en España;2018M08;4.262
05 Canarias;Viajero;Residentes en España;2018M07;3.209
05 Canarias;Viajero;Residentes en España;2018M06;2.700
05 Canarias;Viajero;Residentes en España;2018M05;2.100
05 Canarias;Viajero;Residentes en España;2018M04;1.765
05 Canarias;Viajero;Residentes en España;2018M03;2.284
